,Day,Time,LMP,bypass_pretreatment_flow,excess_solar_power,power_from_grid,intake.op_mode,intake.startup,intake.shutdown,intake.energy_intensity,intake.power_consumption,intake.recovery,intake.feed_flowrate,intake.product_flowrate,intake.reject_flowrate,intake.feed_cost,intake.chemical_cost,pretreatment.op_mode,pretreatment.startup,pretreatment.shutdown,pretreatment.power_consumption,pretreatment.feed_flowrate,pretreatment.product_flowrate,pretreatment.reject_flowrate,pretreatment.inlet_flowrate,pretreatment.leftover_flow,pretreatment.uf_pumps[1].op_mode,pretreatment.uf_pumps[1].startup,pretreatment.uf_pumps[1].shutdown,pretreatment.uf_pumps[1].energy_intensity,pretreatment.uf_pumps[1].power_consumption,pretreatment.uf_pumps[1].recovery,pretreatment.uf_pumps[1].feed_flowrate,pretreatment.uf_pumps[1].product_flowrate,pretreatment.uf_pumps[1].reject_flowrate,pretreatment.uf_pumps[2].op_mode,pretreatment.uf_pumps[2].startup,pretreatment.uf_pumps[2].shutdown,pretreatment.uf_pumps[2].energy_intensity,pretreatment.uf_pumps[2].power_consumption,pretreatment.uf_pumps[2].recovery,pretreatment.uf_pumps[2].feed_flowrate,pretreatment.uf_pumps[2].product_flowrate,pretreatment.uf_pumps[2].reject_flowrate,pretreatment.uf_pumps[3].op_mode,pretreatment.uf_pumps[3].startup,pretreatment.uf_pumps[3].shutdown,pretreatment.uf_pumps[3].energy_intensity,pretreatment.uf_pumps[3].power_consumption,pretreatment.uf_pumps[3].recovery,pretreatment.uf_pumps[3].feed_flowrate,pretreatment.uf_pumps[3].product_flowrate,pretreatment.uf_pumps[3].reject_flowrate,reverse_osmosis.op_mode,reverse_osmosis.startup,reverse_osmosis.shutdown,reverse_osmosis.power_consumption,reverse_osmosis.feed_flowrate,reverse_osmosis.product_flowrate,reverse_osmosis.reject_flowrate,reverse_osmosis.inlet_flowrate,reverse_osmosis.leftover_flow,reverse_osmosis.ro_skid[1].op_mode,reverse_osmosis.ro_skid[1].startup,reverse_osmosis.ro_skid[1].shutdown,reverse_osmosis.ro_skid[1].energy_intensity,reverse_osmosis.ro_skid[1].power_consumption,reverse_osmosis.ro_skid[1].recovery,reverse_osmosis.ro_skid[1].feed_flowrate,reverse_osmosis.ro_skid[1].product_flowrate,reverse_osmosis.ro_skid[1].reject_flowrate,reverse_osmosis.ro_skid[2].op_mode,reverse_osmosis.ro_skid[2].startup,reverse_osmosis.ro_skid[2].shutdown,reverse_osmosis.ro_skid[2].energy_intensity,reverse_osmosis.ro_skid[2].power_consumption,reverse_osmosis.ro_skid[2].recovery,reverse_osmosis.ro_skid[2].feed_flowrate,reverse_osmosis.ro_skid[2].product_flowrate,reverse_osmosis.ro_skid[2].reject_flowrate,reverse_osmosis.ro_skid[3].op_mode,reverse_osmosis.ro_skid[3].startup,reverse_osmosis.ro_skid[3].shutdown,reverse_osmosis.ro_skid[3].energy_intensity,reverse_osmosis.ro_skid[3].power_consumption,reverse_osmosis.ro_skid[3].recovery,reverse_osmosis.ro_skid[3].feed_flowrate,reverse_osmosis.ro_skid[3].product_flowrate,reverse_osmosis.ro_skid[3].reject_flowrate,reverse_osmosis.ro_skid[4].op_mode,reverse_osmosis.ro_skid[4].startup,reverse_osmosis.ro_skid[4].shutdown,reverse_osmosis.ro_skid[4].energy_intensity,reverse_osmosis.ro_skid[4].power_consumption,reverse_osmosis.ro_skid[4].recovery,reverse_osmosis.ro_skid[4].feed_flowrate,reverse_osmosis.ro_skid[4].product_flowrate,reverse_osmosis.ro_skid[4].reject_flowrate,posttreatment.op_mode,posttreatment.startup,posttreatment.shutdown,posttreatment.energy_intensity,posttreatment.power_consumption,posttreatment.feed_flowrate,posttreatment.product_flowrate,posttreatment.reject_flowrate,posttreatment.chemical_cost,brine_discharge.op_mode,brine_discharge.startup,brine_discharge.shutdown,brine_discharge.feed_flowrate,brine_discharge.power_consumption,brine_discharge.brine_cost,power_generation.op_mode,power_generation.startup,power_generation.shutdown,power_generation.power_utilized,power_generation.power_curtailed,num_skids_online,net_power_consumption,water_revenue,demand_response_revenue,emissions_cost,energy_cost
0,1,1,0.1016,1.5739084599435418e-05,8.947553489838601e-05,1041.551162385492,,,,0,3.948927871783168e-14,1,2012.967575689935,2012.967575689935,5.5728018358389944e-14,322.07481211038964,66.83052351290584,0.33340741458720635,,,301.14464191025485,2012.9675599508505,1932.4487984253326,80.51869993438882,2012.9674983597215,6.159112895905539e-05,0.8375975533076702,0.30269945861012626,0.05410411586370461,0.15582947964446098,100.46136223415651,0.96,671.5497771397631,644.6877860541726,26.861991085590503,0.7709157621601072,0.28783535115375924,0.07597027571241775,0.15583571605141497,100.38158030553176,0.96,670.9896088076283,644.1500244553232,26.839584352305106,0.714518725243103,0.27410721040782837,0.09424432929199761,0.1558421177599401,100.3016993705666,0.96,670.4281124123302,643.610987915837,26.817124496493207,,,,588.1958951456795,1932.4487984253326,1787.515077303968,144.9337069844128,1932.448784288381,1.4136951613914464e-05,0.7608090225720927,0.284993936477356,0.10942355305660724,0.32905837520787073,147.04957084512688,0.9249999750768728,483.1134086913196,446.87989099877376,36.23351769254586,0.7608090225720648,0.284993936477356,0.10942355305660724,0.32905812044839966,147.04927266938031,0.9249999750768425,483.1128031008993,446.8793308276354,36.23347227326392,0.7608080803631873,0.28545487829962074,0.07948158105498787,0.329057787488896,147.048882966866,0.9249999750768028,483.1120116197955,446.8785987076149,36.2334129121806,0.7608060565368501,0.28545439822012003,0.07948193550085272,0.32905717719263533,147.04816866430625,0.9249999750767299,483.1105608763664,446.8772567699439,36.23330410642242,0.715006063522644,,,0.101,180.53902280770077,1787.515077303968,1787.515066577514,1.0726453825401245e-05,55.41296739642301,0.284993936477356,,,225.4524475212917,0.0001789510696366546,96.94455243415544,,,,28.328665904747627,8.94752523726171e-05,3.0432321820441945,1041.551162385492,0.0,0.0,0.0,105.82159809836598
1,1,2,0.1016,1.5760984317455524e-05,8.947685238633061e-05,1032.526527475116,,,,0,3.948906623896385e-14,1,1998.845934029177,1998.845934029177,5.572801507847929e-14,319.8153494446683,66.36168500976868,0.33340741458574574,,,299.1439456740196,1998.8459182681925,1918.892022086722,79.95383425361344,1998.8458563403353,6.192785727900141e-05,0.8340516691568544,0.050911805226570434,0.05445768937738617,0.15588648525255003,99.79441625571049,0.96,666.8475253924297,640.1736243767325,26.673901015697176,0.7661598085850122,0.07033823817243832,0.07509419174753328,0.15589404744467966,99.71468489279769,0.96,666.2824215071878,639.6311246469003,26.651296860287516,0.7093219506036075,0.08604772439302304,0.09124449903251851,0.15590178168895272,99.63484452551144,0.96,665.7159094407178,639.0872730630891,26.628636377628737,,,,581.545567099196,1918.892022086722,1774.9750532156686,143.91695272668187,1918.8920059423501,1.61443719772225e-05,0.7554694993514288,0.005016023863912288,0.01035554708457616,0.3276359533955067,145.38644225691044,0.9249999727545924,479.72310477597654,443.7438588475268,35.97924592844972,0.755469499351401,0.005016023863912278,0.010355547084576169,0.3276359318111024,145.38641704573382,0.9249999727545897,479.72305319192446,443.7438111322787,35.979242059645784,0.7554694190974642,0.07271748359123727,0.07805614485696032,0.32763590360130784,145.38638409592065,0.9249999727545859,479.72298577400403,443.7437487707023,35.97923700330169,0.7554692467138373,0.07271872520192126,0.07805553502493405,0.3276358518942224,145.38632370063112,0.9249999727545791,479.7228622004451,443.7436344651604,35.97922773528468,0.7099900396587318,,,0.101,179.27248037478253,1774.9750532156686,1774.9750416775726,1.1538095885868498e-05,55.02422664968573,0.2900099603412683,,,223.87083042374755,0.00017895370461253908,96.26445708221144,,,,27.435734103439348,8.947656065422486e-05,3.0218776645141316,1032.526527475116,0.0,0.0,0.0,104.90469519147177
2,1,3,0.1016,1.5541892264396224e-05,8.947356927339741e-05,1043.6529452572559,,,,0,3.9488882111565155e-14,1,2013.4773951184354,2013.4773951184354,5.572801196654455e-14,322.1563832189497,66.84744951793205,0.33340741460035833,,,301.2171959855935,2013.4773795765432,1932.9382280628497,80.53909283595208,2013.4773208988015,5.86777416756832e-05,0.8341983591319917,0.05332025639045985,0.05317356641532256,0.15582869382639244,100.47155986696099,0.96,671.6213316777138,644.7564784106053,26.86485326710854,0.7677481761587389,0.07442057246478806,0.07283220489106142,0.15583380965886814,100.40575649871695,0.96,671.1594224328941,644.3130455355783,26.84637689731574,0.7127190090768891,0.09162137092995513,0.08822431245667357,0.15583903826703546,100.33987961991555,0.96,670.6965667881938,643.868704116666,26.827862671527786,,,,588.4369111595062,1932.9382280628497,1787.9678054275262,144.9704086578575,1932.9382140853838,1.397746578223796e-05,0.7609996223465745,0.23417487980664242,0.2286447568114968,0.32910941216818235,147.1093078285957,0.9249999779602682,483.23471603568487,446.992101682645,36.242614353039905,0.7609996223465465,0.23417487980664242,0.2286447568114968,0.32910937754192787,147.1092672983247,0.9249999779602646,483.23463374115545,446.9920255602053,36.2426081809501,0.7609994954830773,0.07906360379581154,0.07353352741019842,0.32910933294092987,147.10921509255024,0.9249999779602599,483.2345277401242,446.99192750925147,36.24260023087273,0.7609992253529408,0.07906375990095203,0.07353378126184842,0.32910925250353523,147.10912094003552,0.9249999779602514,483.2343365684192,446.99175067542444,36.24258589299477,0.7608090963294453,,,0.101,180.58474834818014,1787.9678054275262,1787.9677958186103,9.608915905770101e-06,55.427001968253315,0.2391909036705547,,,225.5095406220836,0.00017894713838668443,96.96910246749594,,,,26.58617865673176,8.947326823862245e-05,3.043997965529139,1043.6529452572559,0.0,0.0,0.0,106.03513923813719
3,1,4,0.1016,1.5564625200543966e-05,4.6215448076952926e-05,1045.7107660951012,,,,0,3.948840261926495e-14,1,2013.4774511574417,2013.4774511574417,5.572800342100103e-14,322.1563921851907,66.84745137842707,0.3334074145988421,,,301.2172039154991,2013.4774355928164,1932.9382815261283,80.53909506358877,2013.477376589717,5.9003099449177596e-05,0.8349587675057777,0.053724832900745145,0.052964424526959195,0.15582869362732651,100.47156245446931,0.96,671.6213498323812,644.7564958390858,26.86485399329531,0.7685390299148075,0.07400259376120412,0.07321174000513553,0.15583380945121855,100.40575914206299,0.96,671.15944099659,644.3130633567263,26.84637763986365,0.7132175928983512,0.08996011960689371,0.08946153578543158,0.15583903805061483,100.33988231896681,0.96,670.696585760746,643.8687223303161,26.827863430429815,,,,588.4369354990359,1932.9382815261283,1787.967850978822,144.97041568231398,1932.9382666611361,1.4864992038288309e-05,0.7609995225381235,0.010355575136485537,0.010355674944936381,0.32910939247864174,147.1092847468709,0.9249999763661777,483.2346699583859,446.9920582908246,36.242611667561256,0.7609995225380957,0.01035557513648553,0.010355674944936387,0.32910937096464304,147.1092595645866,0.9249999763661754,483.2346188271121,446.9920109943964,36.24260783271568,0.7609994425197499,0.07598511515650688,0.0759851681198343,0.329109342589208,147.10922635094482,0.9249999763661721,483.2345513885902,446.9919486137637,36.242602774826466,0.7609992696742606,0.07598520052035156,0.07598515619903189,0.3291092900356378,147.1091648366336,0.9249999763661664,483.23442648704787,446.9918330798373,36.24259340721059,0.755469545056872,,,0.101,180.58475294886102,1787.967850978822,1787.967841369906,9.608916016448029e-06,55.427003380343486,0.24453045494312795,,,225.50955078443607,9.24308961111885e-05,96.9691068373075,,,,24.528264914638978,4.621536102066359e-05,3.0439977572702297,1045.7107660951012,0.0,0.0,0.0,106.24421383526229
4,1,5,0.1016,1.554108189014636e-05,4.853192754784454e-05,1045.7107556252015,,,,0,3.948999454071302e-14,1,2023.105691892252,2023.105691892252,5.5728027732934966e-14,323.69691070276036,67.16710897082278,0.3334074146004124,,,302.5926372943997,2023.1056763511701,1942.1813929775785,80.92422470739916,2023.105617684978,5.866619235009918e-05,0.836515745970348,0.05368016477420925,0.052123186309638934,0.15579645447981882,100.92302564756702,0.96,674.778845687662,647.7876918601555,26.991153827506547,0.7708075007787326,0.0739754891786921,0.07170701831476692,0.15580037209250855,100.86423121810475,0.96,674.3687842829685,647.3940329116498,26.97475137131872,0.7161038897466065,0.09009704813211197,0.08721075128385662,0.15580437731627703,100.80538042872796,0.96,673.9579877143473,646.9996682057734,26.958319508573897,,,,593.0006846192142,1942.1813929775785,1796.517729940125,145.6636487726202,1942.1813787127453,1.4264833268344188e-05,0.7646386636211399,0.22864472921865606,0.22500558813563973,0.33008347135662885,148.25025208128253,0.9249999766401068,485.545508168989,449.12958371402357,36.41592445496543,0.764638663621112,0.22864472921865606,0.22500558813563973,0.33008343687705766,148.25021166595164,0.924999976640103,485.54542652039305,449.1295081890724,36.41591833132064,0.764638536592758,0.0762190659375651,0.07257997186455702,0.33008339181387353,148.2501588450105,0.9249999766400981,485.54531980948707,449.12940948148446,36.415910328002575,0.7646382637388466,0.07621908508044063,0.0725800910158546,0.3300833092153902,148.25006202696957,0.9249999766400891,485.54512421387636,449.12922855554484,36.41589565833156,0.7609996956448585,,,0.101,181.44829072395265,1796.517729940125,1796.5177203312091,9.60891596366395e-06,55.69204962814388,0.23900030435514158,,,226.58791289485052,9.706385504858214e-05,97.43280254478573,,,,31.3310026081476,4.853185239524185e-05,3.0585541275738564,1045.7107556252017,0.0,0.0,0.0,106.24421277152047
5,1,6,0.1016,1.5541082663704026e-05,8.947552453067147e-05,1041.5734497279213,,,,0,3.949380494114502e-14,1,2043.5018202265323,2043.5018202265323,5.57280478937826e-14,326.96029123624515,67.84426043152087,0.3334074146004123,,,305.53620847724494,2043.5018046854498,1961.7616761784761,81.74006984076992,2043.501746019246,5.866620365948653e-05,0.8386277342864694,0.05356030818541707,0.051448319869295586,0.15574290428253434,101.91233369769098,0.96,681.6277211733099,654.3626123263775,27.2651088469324,0.7744675265288716,0.07418940660090619,0.07052938085076724,0.15574579943103575,101.84543035839226,0.96,681.1675842572872,653.9208808869956,27.24670337029156,0.721449106330927,0.09083585305081526,0.08549063646649484,0.15574880244551587,101.77844442116168,0.96,680.706440588649,653.4781829651031,27.22825762354596,,,,602.7446048632974,1961.7616761784761,1814.629494410308,147.13216724067593,1961.761661650984,1.4527492274707234e-05,0.7723473135461039,0.01035570308275093,0.0026470531577869084,0.3321585399732329,150.68620213490854,0.924999978276238,490.440517190862,453.6574677473343,36.783049443527744,0.772347313546076,0.010355703082750923,0.0026470531577869163,0.33215851834424226,150.68617670620478,0.9249999782762358,490.44046636345126,453.65742073197936,36.7830456314719,0.7723472344678468,0.07777217498178464,0.07006347710669582,0.332158490075381,150.68614347116056,0.9249999782762329,490.44039993256035,453.6573592834053,36.783040649155055,0.7723470646066269,0.0777722946744308,0.07006349380665039,0.33215843825829966,150.68608255102347,0.9249999782762277,490.4402781641104,453.65724664758915,36.78303151652124,0.760999567698593,,,0.101,183.2775789354411,1814.629494410308,1814.629484801392,9.608916135619213e-06,56.25351432671955,0.239000432301407,,,228.87227675893698,0.00017895104890122555,98.4150790063429,,,,49.98521097463556,8.947536444625317e-05,3.0893889261666536,1041.5734497279213,0.0,0.0,0.0,105.82386249235681
6,1,7,0.1016,1.5525628135903305e-05,4.8599206421099194e-05,1045.710755303386,,,,0,3.949337719554336e-14,1,2043.5545259681505,2043.5545259681505,5.5728043536844343e-14,326.96872415490407,67.8460102621426,0.3334074146014431,,,305.5438683284609,2043.5545104425223,1961.8122739161013,81.74217807983763,2043.554451995939,5.8446583398840904e-05,0.8395689671926828,0.05252570315113233,0.05158447024491895,0.15574279637113084,101.91487473157417,0.96,681.6451888556841,654.3793813014566,27.265807554227372,0.7753708478722633,0.07214030986337885,0.07123698851998721,0.15574568703428063,101.84798360195425,0.96,681.1851525751564,653.9377464721501,27.24740610300627,0.7220080852940403,0.08757012075716644,0.08701114179405324,0.1557486855038768,101.78100999493249,0.96,680.7241105650985,653.4951461424945,27.228964422603994,,,,602.7699177340302,1961.8122739161013,1814.6762947932727,147.13596485598924,1961.8122596492622,1.4266839121475999e-05,0.7723673547655522,0.22500556095448143,0.22498551973503308,0.3321639484047874,150.6925606908837,0.9249999768671645,490.45322732676476,453.6692239316836,36.784003395081164,0.7723673547655243,0.22500556095448143,0.2249855197350331,0.3321639138867579,150.692520108518,0.9249999768671608,490.45314621214595,453.6691489006613,36.78399731148466,0.7723672285716362,0.07261345647849023,0.07259346237470088,0.3321638687753292,150.6924670716437,0.9249999768671561,490.45304020386766,453.66905084300396,36.783989360863714,0.7723669575177485,0.07261347067537006,0.07259357776424849,0.3321637860928188,150.6923698629847,0.9249999768671474,490.4528459064837,453.66887111792397,36.7839747885597,0.7646387359627677,,,0.101,183.28230577412057,1814.6762947932727,1814.6762851843569,9.608916035081363e-06,56.25496513859146,0.23536126403723234,,,228.87818233721023,9.719841279496074e-05,98.4176184050004,,,,45.88548233084503,4.8599154971348986e-05,3.0894688956204615,1045.710755303386,0.0,0.0,0.0,106.244212738824
7,1,8,0.1016,1.5492993906819456e-05,8.936020148646483e-05,1045.6426725451597,,,,0,3.9493834411981776e-14,1,2050.554387714335,2050.554387714335,5.5728069845150416e-14,328.0887020342936,68.07840567211593,0.3334074146036197,,,306.5636765586073,2050.554372221341,1968.5321416651834,82.02217256938268,2050.554314234566,5.798677508157753e-05,0.8403618442681202,0.05209759337305895,0.051304716297621546,0.15572931368125106,102.26612250058415,0.96,684.0536853328847,656.6915379195693,27.362147413315384,0.7766143852339731,0.07179250934898765,0.07054897198727776,0.15573206994627956,102.18792297069976,0.96,683.5185144023183,656.1777738262255,27.340740576092724,0.7237729888650514,0.08751675003086182,0.08575184645985061,0.15573496990792962,102.10963108732345,0.96,682.9821144993632,655.6628299193886,27.31928457997457,,,,606.1380752611091,1968.5321416651834,1820.892174997962,147.63995216145724,1968.5321271594191,1.45057641469537e-05,0.7750128508900515,0.002647080464226481,1.5843397272335727e-06,0.33287976221435506,151.53456985650604,0.924999978347068,492.1331334374045,455.2231377734739,36.90999566393057,0.7750128508900236,0.0026470804642264854,1.5843397272290672e-06,0.3328797405555445,151.53454436610215,0.9249999783470658,492.13308267380063,455.22309081714036,36.90999185666027,0.7750127719125237,0.07302656185883881,0.07038101851795124,0.3328797122485041,151.53451105135156,0.924999978347063,492.13301632816564,455.22302944742796,36.90998688073764,0.7750126022706556,0.0730266766466473,0.0703810318937402,0.3328796603631704,151.53444998714923,0.9249999783470578,492.13289472004845,455.2229169599197,36.90997776012875,0.7723473585812921,,,0.101,183.91010967479417,1820.892174997962,1820.892165389046,9.608915914095005e-06,56.44765742493682,0.22765264141870792,,,229.66216433851395,0.00017872040281322475,98.754730665561,,,,50.969457029955095,8.936004489932318e-05,3.100051075963255,1045.64267254516,0.0,0.0,0.0,106.23729553058823
8,1,9,0.1016,1.549290940036738e-05,8.947654855889377e-05,1036.9229806034434,,,,0,3.949424553699059e-14,1,2053.7869740165743,2053.7869740165743,5.572803573426181e-14,328.6059158426519,68.18572753735026,0.33340741460362533,,,307.03628518256255,2053.786958523665,1971.6354245165505,82.15147602152304,2053.7869005380735,5.79855913462132e-05,0.8408757659911099,0.051794880390644164,0.05128095866765448,0.15572426050387325,102.42120422336836,0.96,685.1132511662508,657.7087211196008,27.40453004665007,0.7773839055490511,0.07138092774095045,0.07061140742587242,0.15572666021616488,102.34545700449523,0.96,684.5960152125756,657.2121746040725,27.383840608503036,0.7247583230203025,0.08697023794791767,0.08598490379266657,0.15572919353956294,102.26962395469897,0.96,684.0776341592473,656.7145287928773,27.36310536636993,,,,607.6976698161775,1971.6354245165505,1823.7627120657262,147.87269840765995,1971.6354104733862,1.4043164458695884e-05,0.7762347082038968,0.22498549601757512,0.22376363870372978,0.33321099325587633,151.92449165887075,0.9249999783823403,492.9090001468425,455.94081448029027,36.96818566655227,0.7762347082038689,0.22498549601757512,0.22376363870372978,0.3332109615560176,151.92445433315186,0.924999978382337,492.9089259386498,455.94074583771203,36.96818010093778,0.7762345932985574,0.07216468021713375,0.0709428588311001,0.33321092043664813,151.92440591621866,0.9249999783823329,492.9088296797196,455.9406567982016,36.96817288151796,0.7762343475993294,0.0721647082056556,0.07094296287698183,0.3332108456932652,151.9243179079362,0.9249999783823254,492.90865470817414,455.94049494952225,36.96815975865193,0.7723674235181984,,,0.101,184.20003391863833,1823.7627120657262,1823.76270245681,9.60891593499234e-06,56.53664407403751,0.22763257648180157,,,230.02421357417282,0.0001789530969576665,98.91041183689431,,,,62.01127674358047,8.947641953273968e-05,3.1049383573056524,1036.9229806034434,0.0,0.0,0.0,105.35137482930985
9,1,10,0.1016,1.5481741366444793e-05,5.62826137942233e-05,1045.710709969999,,,,0,3.94939139344024e-14,1,2053.7880598072766,2053.7880598072766,5.5728059137452035e-14,328.6060895691643,68.18576358560158,0.3334074146043702,,,307.03644413124437,2053.7880443255353,1971.6364670362336,82.1515194598432,2053.7879864960764,5.782945890346348e-05,0.8410095903836527,0.051487322685100236,0.05135349829255745,0.15572425886983843,102.42125724352015,0.96,685.1136130162546,657.7090684956045,27.404544520650195,0.7774932561792902,0.0708721678892923,0.0707628172590533,0.15572665849201914,102.34550998739597,0.96,684.5963771985416,657.2125221105999,27.38385508794173,0.7248159537490032,0.08626529969696178,0.08620766896826108,0.15572919172504032,102.26967690032825,0.96,684.0779962812803,656.7148764300291,27.363119851251273,,,,607.6981929289493,1971.6364670362336,1823.7636739545517,147.87277845930214,1971.6364524138537,1.4622379905584052e-05,0.7762350394630051,1.6067998654102448e-06,1.275540757060659e-06,0.33321108770055524,151.92460283830306,0.9249999774155861,492.90922166710646,455.9410189100076,36.968202757098844,0.7762350394629772,1.6067998654034457e-06,1.2755407570674552e-06,0.3332110646717436,151.92457572250194,0.9249999774155837,492.90916775753334,455.9409690436525,36.968198713880824,0.7762349552735287,0.0711820030387744,0.07118164106380304,0.33321103439582084,151.92454007342488,0.9249999774155806,492.90909688273985,455.9409034844686,36.968193398271254,0.7762347737829038,0.07118209217721118,0.07118166599363673,0.3332109785315093,151.92447429471937,0.9249999774155749,492.90896610647417,455.940782516423,36.96818359005122,0.7750128971825595,,,0.101,184.20013106940974,1823.7636739545517,1823.7636643456358,9.608915883001132e-06,56.536673892591104,0.22498710281744053,,,230.02433763218252,0.00011256522752509195,98.91046518183849,,,,53.2242270074457,5.6282554309220954e-05,3.104939807982415,1045.710709969999,0.0,0.0,0.0,106.2442081329519
