Comp,MAE,MSE,R2,Adjusted R2
S_su,0.251895311371985,0.14510947076837874,0.9828417020927025,0.953427477108764
S_aa,0.08873722780003993,0.017759016354771725,0.9905748729851575,0.9744175123882846
S_fa,0.9888475928828742,2.2549587619833016,0.9824438941578253,0.9523477127140972
S_va,0.1543505330897575,0.05098711621940826,0.9928308911982489,0.9805409903952469
S_bu,0.2101699201481073,0.09303517428431747,0.9932029761487932,0.98155093526101
S_pro,0.3248849470007244,0.22983482222008808,0.9871782590381237,0.9651981316749073
S_ac,0.6192889669032643,0.8786020176007027,0.9899134364977832,0.9726221847796972
S_h2,1.6160123416667098e-06,6.255281110058286e-12,0.9866899438112433,0.9638727046305176
S_ch4,0.18200464082724502,0.06960778749727549,0.9957643226650883,0.9885031615195253
S_IC,1.3043131940048796,3.3029467817313662,0.987473724282991,0.9762000761376828
S_IN,0.11783149355821082,0.04062539192327677,0.9991525503182821,0.9976997794353372
S_I,0.19748371158683187,0.1269806894288835,0.9993236865074114,0.9981642919486882
X_c,0.2910962187281964,0.1752361307087144,0.9991939464609951,0.9978121403941297
X_ch,0.24470955971209746,0.13576074959605028,0.9861938598335226,0.9625261909767042
X_pr,0.4069040668831882,0.3749745437078271,0.9858122028152588,0.961490264784274
X_li,0.20486982308995608,0.09535300095520831,0.9869115599743795,0.964474234216173
X_su,0.3662296559498714,0.51778481286463,0.9996317632003014,0.9990005001151039
X_aa,0.05350924429204014,0.020975995272588494,0.9995235165644624,0.9977367036811963
X_fa,0.02986724182193408,0.002007680847758578,0.9964770305921098,0.990437654464298
X_c4,3.309515761365934,18.766133079370217,0.7199961404042127,0.4679926667680041
X_pro,0.3417597529294682,0.25390854939606017,0.974881846992578,0.9318221561227116
X_ac,0.9754093736708849,1.7141919321888037,0.999418786092666,0.9984224193943791
X_h2,0.3870424395221285,0.4734013011639,0.9540559290662055,0.8752946646082721
X_I,0.29096557213522306,0.2427913750243306,0.9982644635736023,0.9952892582712063
VolumetricFlowrate,4.738938953874339e-05,3.1349907144334116e-09,0.9999999984734614,0.9999999970995768
