,OCWD,Serrano Water District,Anaheim,Fullerton F-3A/1,Fullerton F-5/1,Santa Ana,Tustin,Orange,Garden Grove,IRWD
freund_k,3.57534747369342,5.370052247872074,2.5257568727261352,33.55306719512352,20.879935338529776,0.006373112189636916,10.13300299220389,1.1502908232396218,11.446040554964934,1.9257882005750087
freund_ninv,0.8251178778467534,0.7985894356127743,0.7610730404145758,0.8751284266092874,0.8325919248586653,0.457874274759958,0.801442220974388,0.7017403771582753,0.7965275467518484,0.7200889785047072
ds,2.99553013210742e-15,1.1829434051366714e-14,1.6342698756008035e-14,1.196843434669541e-15,6.905031647555767e-16,5.423610981809496e-16,8.204571762458298e-15,4.2288293915109185e-15,4.258161206919014e-15,4.0389397419381714e-15
