,S_su, S_aa, S_fa, S_va, S_bu, S_pro, S_ac, S_h2, S_ch4, S_IC, S_IN, S_I, X_c, X_ch, X_pr, X_li, X_su, X_aa, X_fa, X_c4, X_pro, X_ac, X_h2, X_I, S_cat, S_an, H2O,Volumetric Flowrate,bge2_ S_h2,bge2_ S_ch4,bge2_ S_IC,bge2_Volumetric Flowrate,bgr2_ S_h2,bgr2_ S_ch4,bgr2_ S_IC,bgr2_ H2O,bgr2_Volumetric Flowrate,bge1_ S_h2,bge1_ S_ch4,bge1_ S_IC,bge1_Volumetric Flowrate
0,0.7310841817464846,0.752786990601612,20.490540820053436,1.254585085623276,1.5905965138376423,1.7665048463893545,13.075180906799954,9.049807308637324e-06,41.51908874369537,560.0174632893035,205.778396791102,86.31200270999238,40.238586944215484,0.7562946774757351,0.9888532945664459,0.9018833991327427,377.6205404399139,95.69618970120236,10.445720946575733,79.73830839642282,40.71108673560642,17.54740650707602,84.46946979075753,111.52474013018663,40.0,20.0,990964.2006796551,9.620173802611326,0.00014510119864872217,333.46144344473186,805.0235549589414,1.0,0.0011711466181532537,2074.6533604377482,89.8767591688582,21.229850273378045,20.539634057437084,2.149711677123884,14952.673800906732,5865.641150825711,1.0
0,0.7900394840419288,0.8025019653273894,21.046698026863588,1.3607759362343343,1.724300924327411,1.9701210057966319,13.572687528468974,9.816994906555053e-06,38.46547708724621,548.3503705302369,204.50850079151013,83.81876464930933,41.90318100924399,0.8273087543232822,1.095906318840183,0.9723655669835424,385.50898020005303,97.5894010042839,10.773041502199453,81.51763062142427,40.42354498539991,22.78972038124573,85.57273039956775,111.98302977916914,40.0,20.0,990964.2006904057,7.610176950206424,0.00012451511393026522,244.38850391589867,623.5582017908356,1.0,0.0012721698233148166,2017.0232272627748,92.17214230355637,25.64930189594736,16.714189269051438,1.8250963336050363,11735.761809601256,4633.227774396458,1.0
0,2.440719332132271,1.9120964255266766,29.209465314784655,3.6636560250219765,4.753396605245657,5.722871827983622,21.253651867953216,2.5590922362023955e-05,41.033542381019856,529.8876839713256,193.15182825225844,61.20514810961953,63.18375016893519,2.7750725986409543,4.199089529395347,2.7385919674797345,453.371166872901,110.2039437492981,11.974169386060565,80.98480167472583,34.75149984509055,101.2468297808469,89.7494089834477,98.62826036865404,40.00000000000007,20.000000000000036,990964.2006570348,9.069316019708971,0.00038682027022838737,310.69083354866723,718.0959217418294,1.0,0.0030239492496021204,2035.293905660806,88.82927143430467,25.6174207857008,19.792525547823736,5.15749667849328,12396.491991561752,5531.625368815471,1.0
0,1.9690230436081049,1.6368265493724798,27.62561279949253,3.1221159339651154,4.006897853373996,5.01271623338028,19.37299442813316,2.1818772624935046e-05,40.70619939644643,533.7668347933794,194.52499308996596,63.97945461365759,59.459536492217765,2.223083440984653,3.30378216797545,2.253926195714918,445.15710053879263,109.44468944706534,12.133200064193774,85.4570323609258,34.2271882676691,87.76080142207496,89.37029066562263,103.57857972084156,40.0,20.0,990964.2006562578,6.716631923743267,0.00024424777458255734,228.2585211999929,535.7068932334706,1.0,0.0026343654772215406,2037.405730070033,89.16399470582499,25.188717101672705,14.600645959395031,3.301703884708457,9429.020082569794,4094.041084552629,1.0
0,0.6221731172806678,0.6570640006494504,19.32807595425252,1.0536451197943382,1.3379596096210131,1.4070060199936603,12.572153197055984,7.616980770979768e-06,39.65668493209619,558.607012930521,208.78448536722087,92.18642859118044,36.70061898441825,0.6244517247745645,0.7931487280387537,0.767980583821867,359.0108495725833,91.15626008082558,9.660220720464375,75.43503822768203,40.4391520097932,8.576933040903224,81.25197476168401,112.14452789628899,39.99999999999811,19.999999999999055,990964.2006538856,5.364079485261493,6.80968171554064e-05,177.59327081554088,447.739786655052,1.0,0.0009976563789882763,2042.4424081857264,91.73864005363335,23.29783071014877,11.676324795073523,1.026184483193156,8442.064837989445,3270.2815573323805,1.0
0,1.2446452728013322,1.1563767205276914,24.44155317405214,2.1139900942371166,2.680350216238618,3.613684277450105,15.925559468894106,1.5261655530015346e-05,42.107492133522626,548.3990993926283,198.4876560981226,71.9212971734573,51.03901678740048,1.3735843947214703,1.9444610705687446,1.4894999161483342,421.93597393514204,105.92640263925126,11.991397764509369,88.7228081082122,33.54549550751041,57.23262560981267,86.96082434474975,112.27952844119493,40.0,20.0,990964.2006539694,7.090932516225822,0.00018036561574870572,249.2743674157339,581.0642882158377,1.0,0.0019082976183921576,2076.1273655517657,88.472914042252,21.7595669452738,15.075855635537927,2.523334319063333,10466.117485849702,4321.5940286757395,1.0
0,0.7847474594334733,0.7983377300814843,21.000746894126486,1.3518535227687065,1.7131147434666714,1.9523795836665088,13.604208633210384,9.751238577629468e-06,37.52891155375196,545.318442615843,204.61167716800318,84.02049315794542,41.76550994562654,0.8212469663407423,1.0867371323405828,0.9663802835138607,384.8741980852847,97.43889984179863,10.74559901750063,81.3762873730831,40.46260035148201,22.25256645857739,85.49405322148037,111.87778780490791,40.0,20.0,990964.1992232272,6.32160129787417,0.00010273907074703852,198.0651032543698,515.1116674682235,1.0,0.0012663106535778926,1998.5406413610094,92.94774890830327,27.148709002288136,14.01882779176189,1.5069192168702867,9749.414125865225,3846.8870763328455,1.0
0,0.956247687671917,0.9380259287555726,22.460977390819114,1.6509331192091063,2.090796864194624,2.5791707498043084,14.649922934062882,1.194218904533844e-05,36.984436946297016,538.3468831349135,201.68939119893128,78.26486919212834,45.902184067700766,1.028707686171587,1.4044372526834261,1.1673319627046908,402.74660459385944,101.6631821811693,11.445044148211059,85.29143653019155,38.34224280167254,37.23215159204613,87.05021127536632,113.28435059445634,39.999999999998316,19.999999999999158,990963.8785349112,5.562392878929134,0.00011071191217436007,171.7495335029086,447.45355515934926,1.0,0.0015334423722672835,1983.7847595096841,93.00056028928307,28.719956150377637,12.406016201726988,1.5827971621152614,8420.626639652357,3382.777677893269,1.0
0,0.6609982898367864,0.6918026066486054,19.764860085297467,1.1260584743089408,1.4289548939743806,1.532263858888736,12.964811102082614,8.128848919777794e-06,36.699444296672084,546.8957309655763,207.59286150472775,89.85966088136846,38.030377308381134,0.6713970155041895,0.8623537819118762,0.8161387567217524,366.3605709042665,92.95580534985876,9.963347820191135,77.14596052334642,40.68679208987094,11.253821448505581,82.60992694321709,111.31193473480577,40.0,20.0,990964.2007057961,7.806895990926453,0.00010576846340443349,239.19537388946367,637.9799444125213,1.0,0.0010675581465775716,1984.3524018812193,94.01980467984875,28.0871934230281,17.49001382983506,1.5835954660730065,12210.618550417024,4751.711670835406,1.0
0,3.376200358492534,2.4121741654557334,32.42775731010217,4.649320857968323,6.167541227564969,7.030911129151624,24.959695668131886,3.2736539042268984e-05,38.405495908083054,512.7215729979474,191.3959148361371,57.6525515683854,68.6611974648937,3.865266427110488,5.980353837047811,3.6828122305880817,463.73787724335546,111.00724655543969,11.717875712010956,70.77041308101036,35.39998759399424,121.73326876944975,89.41102170496562,93.31472381858246,39.99999999999953,19.999999999999766,990964.2006568738,9.89479502131247,0.000539868905884074,317.25982002672146,758.0755549615477,1.0,0.003732255851753828,1965.056390479441,90.810789668442,32.27081621110643,22.53061473029838,7.016128877276873,12881.928110320583,6036.428394044326,1.0
