CaseStudy,Reference,Scenario,fci_class,tci_class,fixed_op_class,total_op_class,annual_op_class,elect_intens_class,catchem_class,other_class,wr_const_class,Unit,Type,UnitName,ToUnitName,FromPort,Parameter
carlsbad,nawi,baseline,,,,,,,5,,,treated_storage,treatment,treated_storage,municipal_drinking,outlet,{'hours': 1}
carlsbad,nawi,baseline,,,,,,,5,,,backwash_solids_handling,treatment,backwash_solids_handling,landfill,waste,{'recovery': 0.95}
carlsbad,nawi,baseline,,,,,,,5,,,municipal_drinking,use,municipal_drinking,,,
carlsbad,nawi,baseline,,,,,,,5,,,surface_discharge,waste,surface_discharge,,,
carlsbad,nawi,baseline,,,,,,,5,,,landfill,waste,landfill,,,
,,,,,,,,,,,,,,,,,
carlsbad,nawi,one_ro,,,,,,,5,,,sw_onshore_intake,intake,sw_onshore_intake,sulfuric_acid_addition,outlet,{'water_type': ['seawater']}
carlsbad,nawi,one_ro,,,,,,,5,,,sulfuric_acid_addition,treatment,sulfuric_acid_addition,ferric_chloride_addition,outlet,{'dose': 10}
carlsbad,nawi,one_ro,,,,,,,5,,,ferric_chloride_addition,treatment,ferric_chloride_addition,chlorination,outlet,{'dose': 20}
carlsbad,nawi,one_ro,4,4,,,,,5,,,chlorination,treatment,chlorination,static_mixer,outlet,{'chemical_name': 'Chlorine'}
carlsbad,nawi,one_ro,,,,,,,5,,,static_mixer,treatment,static_mixer,tri_media_filtration,outlet,
carlsbad,nawi,one_ro,,,,,,,5,,,tri_media_filtration,treatment,tri_media_filtration,"cartridge_filtration,backwash_solids_handling","outlet,waste",
carlsbad,nawi,one_ro,,,,,,,5,,,cartridge_filtration,treatment,cartridge_filtration,ro_first_pass,outlet,
carlsbad,nawi,one_ro,3.5,3.5,,,,3.5,5,,,reverse_osmosis,treatment,ro_first_pass,lime_softening,outlet,{'erd': 'yes'}
carlsbad,nawi,one_ro,,,,,,,5,,,lime_softening,treatment,lime_softening,chlorination_b,outlet,{'lime': 2.3}
carlsbad,nawi,one_ro,4,4,,,,,5,,,chlorination,treatment,chlorination_b,caustic_soda_addition,outlet,{'chemical_name': 'Chlorine'}
carlsbad,nawi,one_ro,,,,,,,5,,,caustic_soda_addition,treatment,caustic_soda_addition,treated_storage,outlet,{'dose': 30}
carlsbad,nawi,one_ro,,,,,,,5,,,treated_storage,treatment,treated_storage,municipal_drinking,outlet,{'hours': 1}
carlsbad,nawi,one_ro,,,,,,,5,,,backwash_solids_handling,treatment,backwash_solids_handling,landfill,waste,{'recovery': 0.95}
carlsbad,nawi,one_ro,,,,,,,5,,,municipal_drinking,use,municipal_drinking,,,
carlsbad,nawi,one_ro,,,,,,,5,,,surface_discharge,waste,surface_discharge,,,
carlsbad,nawi,one_ro,,,,,,,5,,,landfill,waste,landfill,,,
,,,,,,,,,,,,,,,,,
tampa_bay,nawi,baseline,,,,,,,5,,,sw_onshore_intake,intake,sw_onshore_intake,sulfuric_acid_addition,outlet,{'water_type': ['seawater']}
tampa_bay,nawi,baseline,,,,,,,5,,,sulfuric_acid_addition,treatment,sulfuric_acid_addition,ferric_chloride_addition,outlet,{'dose': 10}
tampa_bay,nawi,baseline,,,,,,,5,,,ferric_chloride_addition,treatment,ferric_chloride_addition,chlorination,outlet,{'dose': 20}
tampa_bay,nawi,baseline,4,4,,,,,5,,,chlorination,treatment,chlorination,static_mixer,outlet,{'chemical_name': 'Chlorine'}
tampa_bay,nawi,baseline,,,,,,,5,,,static_mixer,treatment,static_mixer,tri_media_filtration,outlet,
tampa_bay,nawi,baseline,,,,,,,5,,,tri_media_filtration,treatment,tri_media_filtration,"cartridge_filtration,backwash_solids_handling","outlet,waste",
tampa_bay,nawi,baseline,,,,,,,5,,,cartridge_filtration,treatment,cartridge_filtration,ro_first_pass,outlet,
tampa_bay,nawi,baseline,3.5,3.5,,,,3.5,5,,,reverse_osmosis,treatment,ro_first_pass,"lime_softening,ro_second_pass","outlet,outlet","{'erd': 'yes',  'split_fraction': [0.67, 0.33]}"
tampa_bay,nawi,baseline,3.5,3.5,,,,3.5,5,,,reverse_osmosis,treatment,ro_second_pass,lime_softening,outlet,{'erd': 'yes'}
tampa_bay,nawi,baseline,,,,,,,5,,,lime_softening,treatment,lime_softening,chlorination_b,outlet,{'lime': 2.3}
tampa_bay,nawi,baseline,4,4,,,,,5,,,chlorination,treatment,chlorination_b,caustic_soda_addition,outlet,{'chemical_name': 'Chlorine'}
tampa_bay,nawi,baseline,,,,,,,5,,,caustic_soda_addition,treatment,caustic_soda_addition,ammonia_addition,outlet,{'dose': 30}
tampa_bay,nawi,baseline,,,,,,,5,,,ammonia_addition,treatment,ammonia_addition,treated_storage,outlet,{'dose': 3}
tampa_bay,nawi,baseline,,,,,,,5,,,treated_storage,treatment,treated_storage,municipal_drinking,outlet,{'hours': 6}
tampa_bay,nawi,baseline,,,,,,,5,,,backwash_solids_handling,treatment,backwash_solids_handling,"landfill,landfill","outlet,waste",{'recovery': 0.95}
tampa_bay,nawi,baseline,,,,,,,5,,,municipal_drinking,use,municipal_drinking,,,
tampa_bay,nawi,baseline,,,,,,,5,,,surface_discharge,waste,surface_discharge,,,
tampa_bay,nawi,baseline,,,,,,,5,,,landfill,waste,landfill,,,
,,,,,,,,,,,,,,,,,
tampa_bay,nawi,one_ro,,,,,,,5,,,sw_onshore_intake,intake,sw_onshore_intake,sulfuric_acid_addition,outlet,{'water_type': ['seawater']}
tampa_bay,nawi,one_ro,,,,,,,5,,,sulfuric_acid_addition,treatment,sulfuric_acid_addition,ferric_chloride_addition,outlet,{'dose': 10}
tampa_bay,nawi,one_ro,,,,,,,5,,,ferric_chloride_addition,treatment,ferric_chloride_addition,chlorination,outlet,{'dose': 20}
tampa_bay,nawi,one_ro,4,4,,,,,5,,,chlorination,treatment,chlorination,static_mixer,outlet,{'chemical_name': 'Chlorine'}
tampa_bay,nawi,one_ro,,,,,,,5,,,static_mixer,treatment,static_mixer,tri_media_filtration,outlet,
tampa_bay,nawi,one_ro,,,,,,,5,,,tri_media_filtration,treatment,tri_media_filtration,"cartridge_filtration,backwash_solids_handling","outlet,waste",
tampa_bay,nawi,one_ro,,,,,,,5,,,cartridge_filtration,treatment,cartridge_filtration,ro_first_pass,outlet,
tampa_bay,nawi,one_ro,3.5,3.5,,,,3.5,5,,,reverse_osmosis,treatment,ro_first_pass,lime_softening,outlet,{'erd': 'yes'}
tampa_bay,nawi,one_ro,,,,,,,5,,,lime_softening,treatment,lime_softening,chlorination_b,outlet,{'lime': 2.3}
tampa_bay,nawi,one_ro,4,4,,,,,5,,,chlorination,treatment,chlorination_b,caustic_soda_addition,outlet,{'chemical_name': 'Chlorine'}
tampa_bay,nawi,one_ro,,,,,,,5,,,caustic_soda_addition,treatment,caustic_soda_addition,ammonia_addition,outlet,{'dose': 30}
tampa_bay,nawi,one_ro,,,,,,,5,,,ammonia_addition,treatment,ammonia_addition,treated_storage,outlet,{'dose': 3}
tampa_bay,nawi,one_ro,,,,,,,5,,,treated_storage,treatment,treated_storage,municipal_drinking,outlet,{'hours': 6}
tampa_bay,nawi,one_ro,,,,,,,5,,,backwash_solids_handling,treatment,backwash_solids_handling,"landfill,landfill","outlet,waste",{'recovery': 0.95}
tampa_bay,nawi,one_ro,,,,,,,5,,,municipal_drinking,use,municipal_drinking,,,
tampa_bay,nawi,one_ro,,,,,,,5,,,surface_discharge,waste,surface_discharge,,,
tampa_bay,nawi,one_ro,,,,,,,5,,,landfill,waste,landfill,,,
,,,,,,,,,,,,,,,,,
santa_barbara,nawi,baseline,,,,,,,5,,,sw_onshore_intake,intake,sw_onshore_intake,ferric_chloride_addition,outlet,{'water_type': ['seawater']}
santa_barbara,nawi,baseline,,,,,,,5,,,ferric_chloride_addition,treatment,ferric_chloride_addition,chlorination,outlet,{'dose': 20}
santa_barbara,nawi,baseline,4,4,,,,,5,,,chlorination,treatment,chlorination,static_mixer,outlet,{'chemical_name': 'Chlorine'}
santa_barbara,nawi,baseline,,,,,,,5,,,static_mixer,treatment,static_mixer,holding_tank,outlet,
santa_barbara,nawi,baseline,,,,,,,5,,,treated_storage,treatment,holding_tank,media_filtration,outlet,{'hours': 2}
santa_barbara,nawi,baseline,,,,,,,5,,,basic_unit,treatment,media_filtration,"anti_scalant_addition,backwash_solids_handling","outlet,waste",{'unit_process_name': 'media_filtration'}
santa_barbara,nawi,baseline,,,,,,,5,,,anti_scalant_addition,treatment,anti_scalant_addition,cartridge_filtration,outlet,{'dose': 5}
santa_barbara,nawi,baseline,,,,,,,5,,,cartridge_filtration,treatment,cartridge_filtration,reverse_osmosis,outlet,
santa_barbara,nawi,baseline,3.5,3.5,,,,3.5,5,,,reverse_osmosis,treatment,reverse_osmosis,holding_tank_b,outlet,{'erd': 'yes'}
santa_barbara,nawi,baseline,,,,,,,5,,,treated_storage,treatment,holding_tank_b,uv_aop,outlet,{'hours': 1}
