compound,c0,c0_std,c_norm,bv,cb,tb,bed_depth,bed_diam,bed_vol,resin_dens,vel_bed,ref,conc_units,flow_in,ebct,resin,notes
pfhxa,44.2,2.4,0.421153846,132784.6365,18.61499999,21180768.85,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfhxa,44.2,2.4,0.453846154,140192.0439,20.06000001,22362340.66,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfhxa,44.2,2.4,0.505769231,151714.6776,22.35500001,24200341.26,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfhxa,44.2,2.4,0.507692308,165706.4472,22.44000001,26432199.14,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfhxa,44.2,2.4,0.626923077,178052.1262,27.71,28401485.5,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfhxa,44.2,2.4,0.55,188203.0178,24.31,30020676.5,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfhxa,44.2,2.4,0.663461538,199176.9547,29.32499998,31771153.26,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfhxa,44.2,2.4,0.755769231,211796.9822,33.40500001,33784201.55,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfhxa,44.2,2.4,0.5,153909.465,22.1,24550436.61,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfoa,14.4,1,0.015384615,20301.78326,0.221538456,3238382.013,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfoa,14.4,1,0.013461538,46090.53498,0.193846147,7352002.409,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfoa,14.4,1,0.055769231,71056.24143,0.803076926,11334337.05,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfoa,14.4,1,0.040384615,96844.99314,0.581538456,15447957.44,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfoa,14.4,1,0.061538462,111385.4595,0.886153853,17767339.15,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfoa,14.4,1,0.036538462,152263.3745,0.526153853,24287865.1,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfoa,14.4,1,0.048076923,178052.1262,0.692307691,28401485.5,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfoa,14.4,1,0.036538462,211796.9822,0.526153853,33784201.55,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfpea,58.7,4.5,0.169230769,27983.53909,9.93384614,4463715.748,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfpea,58.7,4.5,0.261538462,35116.59808,15.35230772,5601525.645,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfpea,58.7,4.5,0.311538462,42524.00549,18.28730772,6783097.461,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfpea,58.7,4.5,0.321153846,46364.8834,18.85173076,7395764.328,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
pfpea,58.7,4.5,0.446153846,53223.59396,26.18923076,8489812.305,0.981,0.0773,0.004692978,0.72,0.00615,croll_2023,ng/L,2.88E-05,2.658536585,a694,
