,c0_mass,WR,Volt,c_prod_mass,Sol_Cond
0,1,0.5,62,,other
1,1,0.5,64,,error
2,1,0.5,66,,error
3,1,0.5,68,,other
4,1,0.5,70,,error
5,1,0.5,72,,error
6,1,0.5,74,,error
7,1,0.5,76,,error
8,1,0.5,78,,maxIterations
9,1,0.5,80,,error
10,1,0.5,82,,error
11,1,0.5,84,,infeasible
12,1,0.5,86,,other
13,1,0.5,88,,error
14,1,0.5,90,,other
15,1,0.5,92,,maxIterations
16,1,0.5,94,,error
17,1,0.5,96,,infeasible
18,1,0.5,98,,maxIterations
19,1,0.5,100,,other
20,1,0.7,62,,other
21,1,0.7,64,,error
22,1,0.7,66,,maxIterations
23,1,0.7,68,,infeasible
24,1,0.7,70,,other
25,1,0.7,72,,error
26,1,0.7,74,,maxIterations
27,1,0.7,76,,other
28,1,0.7,78,,error
29,1,0.7,80,,error
30,1,0.7,82,,maxIterations
31,1,0.7,84,,infeasible
32,1,0.7,86,,other
33,1,0.7,88,,error
34,1,0.7,90,,error
35,1,0.7,92,,other
36,1,0.7,94,,other
37,1,0.7,96,,error
38,1,0.7,98,,error
39,1,0.7,100,,other
40,1,0.9,62,,other
41,1,0.9,64,,maxIterations
42,1,0.9,66,,error
43,1,0.9,68,,maxIterations
44,1,0.9,70,,infeasible
45,1,0.9,72,,other
46,1,0.9,74,,other
47,1,0.9,76,,error
48,1,0.9,78,,maxIterations
49,1,0.9,80,,maxIterations
50,1,0.9,82,,error
51,1,0.9,84,,error
52,1,0.9,86,,maxIterations
53,1,0.9,88,,error
54,1,0.9,90,,error
55,1,0.9,92,,maxIterations
56,1,0.9,94,,infeasible
57,1,0.9,96,,other
58,1,0.9,98,,other
59,1,0.9,100,,other
60,5,0.5,62,0.3694430004779706,optimal
61,5,0.5,64,0.36502805331227917,optimal
62,5,0.5,66,0.3613613101565469,optimal
63,5,0.5,68,0.35831985962953855,optimal
64,5,0.5,70,0.3557994645709374,optimal
65,5,0.5,72,0.35371270635588625,optimal
66,5,0.5,74,0.35198637858167053,optimal
67,5,0.5,76,0.35055927350659133,optimal
68,5,0.5,78,0.3493802985944414,optimal
69,5,0.5,80,0.3484068733405934,optimal
70,5,0.5,82,0.34760356578649,optimal
71,5,0.5,84,0.34694093486008426,optimal
72,5,0.5,86,0.34639454972778183,optimal
73,5,0.5,88,0.345944161284276,optimal
74,5,0.5,90,0.3455730041239509,optimal
75,5,0.5,92,0.34526721007299094,optimal
76,5,0.5,94,0.34501531675807584,optimal
77,5,0.5,96,,infeasible
78,5,0.5,98,,infeasible
79,5,0.5,100,,infeasible
80,5,0.7,62,,other
81,5,0.7,64,,other
82,5,0.7,66,,error
83,5,0.7,68,,other
84,5,0.7,70,,error
85,5,0.7,72,,other
86,5,0.7,74,,error
87,5,0.7,76,,other
88,5,0.7,78,,error
89,5,0.7,80,,error
90,5,0.7,82,,error
91,5,0.7,84,,error
92,5,0.7,86,,error
93,5,0.7,88,,maxIterations
94,5,0.7,90,,other
95,5,0.7,92,,error
96,5,0.7,94,,infeasible
97,5,0.7,96,,maxIterations
98,5,0.7,98,,error
99,5,0.7,100,,other
100,5,0.9,62,1.1700833028728883,optimal
101,5,0.9,64,1.1493680708963279,optimal
102,5,0.9,66,1.1314660668414418,optimal
103,5,0.9,68,1.1160582079084806,optimal
104,5,0.9,70,1.1028511717922536,optimal
105,5,0.9,72,1.0915763087770367,optimal
106,5,0.9,74,1.0819887321808503,optimal
107,5,0.9,76,1.0738665465526653,optimal
108,5,0.9,78,1.0670100849349327,optimal
109,5,0.9,80,1.0612410499544518,optimal
110,5,0.9,82,1.056401490541385,optimal
111,5,0.9,84,1.0523525956445228,optimal
112,5,0.9,86,1.0489733192336108,optimal
113,5,0.9,88,1.046158879031402,optimal
114,5,0.9,90,1.0438191859243162,optimal
115,5,0.9,92,1.0418772598439394,optimal
116,5,0.9,94,1.0402676825145494,optimal
117,5,0.9,96,1.0389351316175561,optimal
118,5,0.9,98,1.0378330193485938,optimal
119,5,0.9,100,1.0369222570955423,optimal
120,15,0.5,62,1.1658708692440283,optimal
121,15,0.5,64,1.1426722391319932,optimal
122,15,0.5,66,1.1231804432143024,optimal
123,15,0.5,68,1.106806642523548,optimal
124,15,0.5,70,1.0930553403074794,optimal
125,15,0.5,72,1.0815097706366559,optimal
126,15,0.5,74,1.0718194884763952,optimal
127,15,0.5,76,1.0636898450241221,optimal
128,15,0.5,78,1.056873078214284,optimal
129,15,0.5,80,1.0511607877699265,optimal
130,15,0.5,82,1.0463775966332896,optimal
131,15,0.5,84,1.0423758271220296,optimal
132,15,0.5,86,1.039031042125695,optimal
133,15,0.5,88,1.0362383202683882,optimal
134,15,0.5,90,1.0339091501086786,optimal
135,15,0.5,92,1.031968842789574,optimal
136,15,0.5,94,1.0303543756128148,optimal
137,15,0.5,96,1.0290125911869823,optimal
138,15,0.5,98,1.0278986883040022,optimal
139,15,0.5,100,1.0269749515224786,optimal
140,15,0.7,62,1.8870769221787356,optimal
141,15,0.7,64,1.8296138488362583,optimal
142,15,0.7,66,1.7802371611171817,optimal
143,15,0.7,68,1.737890189380306,optimal
144,15,0.7,70,1.7016366433717434,optimal
145,15,0.7,72,1.6706507532422794,optimal
146,15,0.7,74,1.6442074702923342,optimal
147,15,0.7,76,1.6216728868394377,optimal
148,15,0.7,78,1.602494982800547,optimal
149,15,0.7,80,1.5861947869660276,optimal
150,15,0.7,82,1.5723580331543645,optimal
151,15,0.7,84,1.5606273828710715,optimal
152,15,0.7,86,1.5506952717123668,optimal
153,15,0.7,88,1.5422974167919103,optimal
154,15,0.7,90,1.5352069996937787,optimal
155,15,0.7,92,1.5292295170438934,optimal
156,15,0.7,94,1.5241982699852608,optimal
157,15,0.7,96,,infeasible
158,15,0.7,98,,infeasible
159,15,0.7,100,,infeasible
160,15,0.9,62,,infeasible
161,15,0.9,64,,infeasible
162,15,0.9,66,,infeasible
163,15,0.9,68,,infeasible
164,15,0.9,70,,infeasible
165,15,0.9,72,,infeasible
166,15,0.9,74,,infeasible
167,15,0.9,76,,infeasible
168,15,0.9,78,,infeasible
169,15,0.9,80,,infeasible
170,15,0.9,82,,infeasible
171,15,0.9,84,,infeasible
172,15,0.9,86,,infeasible
173,15,0.9,88,,infeasible
174,15,0.9,90,,infeasible
175,15,0.9,92,,infeasible
176,15,0.9,94,,infeasible
177,15,0.9,96,,infeasible
178,15,0.9,98,,infeasible
179,15,0.9,100,,infeasible
