,c0_mass,WR,Volt,c_prod_mass,Sol_Cond
163,5,0.5,28,0.9162469340012857,optimal
164,5,0.5,30,0.8229951581825938,optimal
165,5,0.5,32,,infeasible
166,5,0.5,34,0.6787959545284115,optimal
167,5,0.5,36,0.6236648995949667,optimal
168,5,0.5,38,0.5775072488311054,optimal
169,5,0.5,40,0.5388818318315215,optimal
170,5,0.5,42,0.5065682832040838,optimal
171,5,0.5,44,0.4795394531790881,optimal
172,5,0.5,46,0.4569342888434619,optimal
173,5,0.5,48,0.4380326380253718,optimal
174,5,0.5,50,0.4222327315031391,optimal
175,5,0.5,52,0.4090316242128876,optimal
176,5,0.5,54,,other
177,5,0.5,56,,infeasible
178,5,0.5,58,,infeasible
179,5,0.5,60,,infeasible
180,5,0.5,62,0.3694430004779706,optimal
181,5,0.5,64,0.3650280533122791,optimal
182,5,0.5,66,0.3613613101565469,optimal
183,5,0.5,68,0.3583198596295385,optimal
184,5,0.5,70,0.3557994645709374,optimal
185,5,0.5,72,0.3537127063558862,optimal
186,5,0.5,74,0.3519863785816705,optimal
187,5,0.5,76,0.3505592735065913,optimal
188,5,0.5,78,0.3493802985944414,optimal
189,5,0.5,80,0.3484068733405934,optimal
190,5,0.5,82,0.34760356578649,optimal
191,5,0.5,84,0.3469409348600842,optimal
192,5,0.5,86,0.3463945497277818,optimal
193,5,0.5,88,0.345944161284276,optimal
194,5,0.5,90,0.3455730041239509,optimal
195,5,0.5,92,0.3452672100729909,optimal
196,5,0.5,94,0.3450153167580758,optimal
197,5,0.5,96,,infeasible
198,5,0.5,98,,infeasible
199,5,0.5,100,,infeasible
200,5,0.7,2,4.6965261917806025,optimal
201,5,0.7,4,4.382966597184094,optimal
202,5,0.7,6,4.065377714543599,optimal
203,5,0.7,8,3.749610389234969,optimal
204,5,0.7,10,3.4409577649222163,optimal
205,5,0.7,12,3.143923450415848,optimal
206,5,0.7,14,2.8621003811355177,optimal
207,5,0.7,16,2.598139788150889,optimal
208,5,0.7,18,2.3537875769623886,optimal
209,5,0.7,20,2.129967757391426,optimal
210,5,0.7,22,1.9268954916368488,optimal
211,5,0.7,24,1.744205326808874,optimal
212,5,0.7,26,1.5810828135491617,optimal
213,5,0.7,28,1.4363902522593262,optimal
214,5,0.7,30,1.3087798689408687,optimal
215,5,0.7,32,,infeasible
216,5,0.7,34,1.0989241966235437,optimal
217,5,0.7,36,1.0137080512162264,optimal
218,5,0.7,38,0.939734017867814,optimal
219,5,0.7,40,0.8756877763230237,optimal
220,5,0.7,42,,infeasible
221,5,0.7,44,0.7726734218202673,optimal
222,5,0.7,46,0.73164117212802,optimal
223,5,0.7,48,0.6964031622901306,optimal
224,5,0.7,50,0.6661975933112535,optimal
225,5,0.7,52,0.640355780617403,optimal
226,5,0.7,54,0.6182923083853494,optimal
227,5,0.7,56,0.5994953914490756,optimal
228,5,0.7,58,0.583517888661189,optimal
229,5,0.7,60,0.569969224175613,optimal
230,5,0.7,62,,other
231,5,0.7,64,,other
232,5,0.7,66,,error
233,5,0.7,68,,other
234,5,0.7,70,,error
235,5,0.7,72,,other
236,5,0.7,74,,error
237,5,0.7,76,,other
238,5,0.7,78,,error
239,5,0.7,80,,error
240,5,0.7,82,,error
241,5,0.7,84,,error
242,5,0.7,86,,error
243,5,0.7,88,,maxIterations
244,5,0.7,90,,other
245,5,0.7,92,,error
246,5,0.7,94,,infeasible
247,5,0.7,96,,maxIterations
248,5,0.7,98,,error
249,5,0.7,100,,other
250,5,0.9,2,4.861580974439421,optimal
251,5,0.9,4,4.7022817779761406,optimal
252,5,0.9,6,4.5247102156636165,optimal
253,5,0.9,8,4.332547984443561,optimal
254,5,0.9,10,4.130025205942343,optimal
255,5,0.9,12,3.921446583771036,optimal
256,5,0.9,14,3.7108470124945936,optimal
257,5,0.9,16,3.501785393537139,optimal
258,5,0.9,18,3.2972497907919056,optimal
259,5,0.9,20,3.0996387027397203,optimal
260,5,0.9,22,2.910788391518274,optimal
261,5,0.9,24,2.7320249476479908,optimal
262,5,0.9,26,2.564227500361658,optimal
263,5,0.9,28,2.407894491752394,optimal
264,5,0.9,30,2.263208421271113,optimal
265,5,0.9,32,2.1300965281804376,optimal
266,5,0.9,34,2.008286052919751,optimal
267,5,0.9,36,1.897353387090741,optimal
268,5,0.9,38,1.796766830809955,optimal
269,5,0.9,40,1.7059229489443746,optimal
270,5,0.9,42,1.624176723559729,optimal
271,5,0.9,44,1.5508658621799494,optimal
272,5,0.9,46,1.485329744148815,optimal
273,5,0.9,48,1.4269235757831484,optimal
274,5,0.9,50,1.3750283909389422,optimal
275,5,0.9,52,1.3290575148514752,optimal
276,5,0.9,54,1.2884601922399976,optimal
277,5,0.9,56,1.2527229533997162,optimal
278,5,0.9,58,1.2213693459399588,optimal
279,5,0.9,60,1.1939585524320355,optimal
280,5,0.9,62,1.1700833028728883,optimal
281,5,0.9,64,1.149368070896328,optimal
282,5,0.9,66,1.1314660668414418,optimal
283,5,0.9,68,1.1160582079084806,optimal
284,5,0.9,70,1.1028511717922536,optimal
285,5,0.9,72,1.0915763087770367,optimal
286,5,0.9,74,1.0819887321808503,optimal
287,5,0.9,76,1.0738665465526651,optimal
288,5,0.9,78,1.0670100849349329,optimal
289,5,0.9,80,1.0612410499544518,optimal
290,5,0.9,82,1.056401490541385,optimal
291,5,0.9,84,1.0523525956445228,optimal
292,5,0.9,86,1.0489733192336108,optimal
293,5,0.9,88,1.046158879031402,optimal
294,5,0.9,90,1.0438191859243162,optimal
295,5,0.9,92,1.0418772598439394,optimal
296,5,0.9,94,1.0402676825145494,optimal
297,5,0.9,96,1.038935131617556,optimal
298,5,0.9,98,1.0378330193485938,optimal
299,5,0.9,100,1.0369222570955423,optimal
300,15,0.5,2,13.90619874829213,optimal
301,15,0.5,4,12.833278763316644,optimal
302,15,0.5,6,11.788568727801897,optimal
303,15,0.5,8,10.779016949090376,optimal
304,15,0.5,10,9.81111336642416,optimal
305,15,0.5,12,8.890776555716908,optimal
306,15,0.5,14,8.023211964604608,optimal
307,15,0.5,16,7.2127529238493775,optimal
308,15,0.5,18,6.4627015015950064,optimal
309,15,0.5,20,5.775190835610042,optimal
310,15,0.5,22,5.1510924727550655,optimal
311,15,0.5,24,4.589989730070899,optimal
312,15,0.5,26,4.090230326868243,optimal
313,15,0.5,28,3.6490594265502927,optimal
314,15,0.5,30,3.262820595718832,optimal
315,15,0.5,32,2.9272008927731266,optimal
316,15,0.5,34,2.6374905871098835,optimal
317,15,0.5,36,2.388829081130491,optimal
318,15,0.5,38,2.17641524952465,optimal
319,15,0.5,40,1.9956698527443144,optimal
320,15,0.5,42,1.8423469823302216,optimal
321,15,0.5,44,1.7125986254600665,optimal
322,15,0.5,46,1.603000634458736,optimal
323,15,0.5,48,1.5105499070417354,optimal
324,15,0.5,50,1.432642190595485,optimal
325,15,0.5,52,1.367038461486766,optimal
326,15,0.5,54,1.3118259728213677,optimal
327,15,0.5,56,1.2653782468696797,optimal
328,15,0.5,58,1.2263167382383913,optimal
329,15,0.5,60,1.193475692550473,optimal
330,15,0.5,62,1.1658708692440285,optimal
331,15,0.5,64,1.1426722391319932,optimal
332,15,0.5,66,1.1231804432143024,optimal
333,15,0.5,68,1.106806642523548,optimal
334,15,0.5,70,1.0930553403074794,optimal
335,15,0.5,72,1.081509770636656,optimal
336,15,0.5,74,1.0718194884763952,optimal
337,15,0.5,76,1.063689845024122,optimal
338,15,0.5,78,1.056873078214284,optimal
339,15,0.5,80,1.0511607877699265,optimal
340,15,0.5,82,1.0463775966332896,optimal
341,15,0.5,84,1.0423758271220296,optimal
342,15,0.5,86,1.039031042125695,optimal
343,15,0.5,88,1.0362383202683882,optimal
344,15,0.5,90,1.0339091501086786,optimal
345,15,0.5,92,1.031968842789574,optimal
346,15,0.5,94,1.0303543756128148,optimal
347,15,0.5,96,1.0290125911869823,optimal
348,15,0.5,98,1.0278986883040022,optimal
349,15,0.5,100,1.0269749515224786,optimal
350,15,0.7,2,14.289559800858427,optimal
351,15,0.7,4,13.56350430422744,optimal
352,15,0.7,6,12.828732986898713,optimal
353,15,0.7,8,12.091866470838884,optimal
354,15,0.7,10,11.359139675344917,optimal
355,15,0.7,12,10.636333031633638,optimal
356,15,0.7,14,9.928728846397908,optimal
357,15,0.7,16,9.24108304593564,optimal
358,15,0.7,18,8.577604191308298,optimal
359,15,0.7,20,7.941935741915334,optimal
360,15,0.7,22,7.33713979379197,optimal
361,15,0.7,24,6.76568250257135,optimal
362,15,0.7,26,6.229423652663711,optimal
363,15,0.7,28,5.729613538456488,optimal
364,15,0.7,30,5.266900464440815,optimal
365,15,0.7,32,4.841352296126785,optimal
366,15,0.7,34,4.452493624808179,optimal
367,15,0.7,36,4.099359180592246,optimal
368,15,0.7,38,3.7805612985806105,optimal
369,15,0.7,40,3.494368107850911,optimal
370,15,0.7,42,3.238787489766607,optimal
371,15,0.7,44,3.011651428956928,optimal
372,15,0.7,46,2.8106956633629734,optimal
373,15,0.7,48,2.6336305103718245,optimal
374,15,0.7,50,2.478200127169731,optimal
375,15,0.7,52,2.3422289506059664,optimal
376,15,0.7,54,2.223655435202138,optimal
377,15,0.7,56,2.1205541364558758,optimal
378,15,0.7,58,2.0311480391874506,optimal
379,15,0.7,60,1.953813080863532,optimal
380,15,0.7,62,1.887076922178736,optimal
381,15,0.7,64,1.8296138488362583,optimal
382,15,0.7,66,1.7802371611171817,optimal
383,15,0.7,68,1.737890189380306,optimal
384,15,0.7,70,1.7016366433717434,optimal
385,15,0.7,72,1.6706507532422794,optimal
386,15,0.7,74,1.6442074702923342,optimal
387,15,0.7,76,1.6216728868394377,optimal
388,15,0.7,78,1.602494982800547,optimal
389,15,0.7,80,1.5861947869660276,optimal
390,15,0.7,82,1.5723580331543645,optimal
391,15,0.7,84,1.5606273828710715,optimal
392,15,0.7,86,1.5506952717123668,optimal
393,15,0.7,88,1.5422974167919103,optimal
394,15,0.7,90,1.5352069996937787,optimal
395,15,0.7,92,1.5292295170438934,optimal
396,15,0.7,94,1.5241982699852608,optimal
397,15,0.7,96,,infeasible
398,15,0.7,98,,infeasible
399,15,0.7,100,,infeasible
400,15,0.9,2,14.657378043974656,optimal
401,15,0.9,4,14.278855696536462,optimal
402,15,0.9,6,13.869740935775466,optimal
403,15,0.9,8,13.43589577619956,optimal
