,c0_mass,WR,Volt,c_prod_mass,Sol_Cond,
149,1,0.9,100,,other,
150,5,0.5,2,4.529689294,optimal,
151,5,0.5,4,4.074681063,optimal,
152,5,0.5,6,,infeasible,
153,5,0.5,8,3.235331529,optimal,
154,5,0.5,10,2.860153057,optimal,
155,5,0.5,12,2.518416485,optimal,
156,5,0.5,14,2.211228781,optimal,
157,5,0.5,16,1.938456318,optimal,
158,5,0.5,18,1.69892398,optimal,
159,5,0.5,20,1.490655714,optimal,
160,5,0.5,22,1.311127026,optimal,
161,5,0.5,24,1.157502648,optimal,
162,5,0.5,26,1.026839841,optimal,
163,5,0.5,28,0.916246934,optimal,
164,5,0.5,30,0.822995158,optimal,
165,5,0.5,32,,infeasible,
166,5,0.5,34,0.678795955,optimal,
167,5,0.5,36,0.6236649,optimal,
168,5,0.5,38,0.577507249,optimal,
169,5,0.5,40,0.538881832,optimal,
170,5,0.5,42,0.506568283,optimal,
171,5,0.5,44,0.479539453,optimal,
172,5,0.5,46,0.456934289,optimal,
173,5,0.5,48,0.438032638,optimal,
174,5,0.5,50,0.422232732,optimal,
175,5,0.5,52,0.409031624,optimal,
176,5,0.5,54,,other,
177,5,0.5,56,,infeasible,
178,5,0.5,58,,infeasible,
179,5,0.5,60,,infeasible,
180,5,0.5,62,0.369443,optimal,
181,5,0.5,64,0.365028053,optimal,
182,5,0.5,66,0.36136131,optimal,
183,5,0.5,68,0.35831986,optimal,
184,5,0.5,70,0.355799465,optimal,
185,5,0.5,72,0.353712706,optimal,
186,5,0.5,74,0.351986379,optimal,
187,5,0.5,76,0.350559274,optimal,
188,5,0.5,78,0.349380299,optimal,
189,5,0.5,80,0.348406873,optimal,
190,5,0.5,82,0.347603566,optimal,
191,5,0.5,84,0.346940935,optimal,
192,5,0.5,86,0.34639455,optimal,
193,5,0.5,88,0.345944161,optimal,
194,5,0.5,90,0.345573004,optimal,
195,5,0.5,92,0.34526721,optimal,
196,5,0.5,94,0.345015317,optimal,
197,5,0.5,96,,infeasible,
198,5,0.5,98,,infeasible,
199,5,0.5,100,,infeasible,
200,5,0.7,2,4.696526192,optimal,
201,5,0.7,4,4.382966597,optimal,
202,5,0.7,6,4.065377715,optimal,
203,5,0.7,8,3.749610389,optimal,
204,5,0.7,10,3.440957765,optimal,
205,5,0.7,12,3.14392345,optimal,
206,5,0.7,14,2.862100381,optimal,
207,5,0.7,16,2.598139788,optimal,
208,5,0.7,18,2.353787577,optimal,
209,5,0.7,20,2.129967757,optimal,
210,5,0.7,22,1.926895492,optimal,
211,5,0.7,24,1.744205327,optimal,
212,5,0.7,26,1.581082814,optimal,
213,5,0.7,28,1.436390252,optimal,
214,5,0.7,30,1.308779869,optimal,
215,5,0.7,32,,infeasible,
216,5,0.7,34,1.098924197,optimal,
217,5,0.7,36,1.013708051,optimal,
218,5,0.7,38,0.939734018,optimal,
219,5,0.7,40,0.875687776,optimal,
220,5,0.7,42,,infeasible,
221,5,0.7,44,0.772673422,optimal,
222,5,0.7,46,0.731641172,optimal,
223,5,0.7,48,0.696403162,optimal,
224,5,0.7,50,0.666197593,optimal,
225,5,0.7,52,0.640355781,optimal,
226,5,0.7,54,0.618292308,optimal,
227,5,0.7,56,0.599495391,optimal,
228,5,0.7,58,0.583517889,optimal,
229,5,0.7,60,0.569969224,optimal,
230,5,0.7,62,,other,
231,5,0.7,64,,other,
232,5,0.7,66,,error,
233,5,0.7,68,,other,
234,5,0.7,70,,error,
235,5,0.7,72,,other,
236,5,0.7,74,,error,
237,5,0.7,76,,other,
238,5,0.7,78,,error,
239,5,0.7,80,0.55,error,F
240,5,0.7,82,,error,
241,5,0.7,84,,error,
242,5,0.7,86,,error,
243,5,0.7,88,,maxIterations,
244,5,0.7,90,,other,
245,5,0.7,92,,error,
246,5,0.7,94,,infeasible,
247,5,0.7,96,,maxIterations,
248,5,0.7,98,,error,
249,5,0.7,100,,other,
250,5,0.9,2,4.861580974,optimal,
251,5,0.9,4,4.702281778,optimal,
252,5,0.9,6,4.524710216,optimal,
253,5,0.9,8,4.332547984,optimal,
254,5,0.9,10,4.130025206,optimal,
255,5,0.9,12,3.921446584,optimal,
256,5,0.9,14,3.710847012,optimal,
257,5,0.9,16,3.501785394,optimal,
258,5,0.9,18,3.297249791,optimal,
259,5,0.9,20,3.099638703,optimal,
260,5,0.9,22,2.910788392,optimal,
261,5,0.9,24,2.732024948,optimal,
262,5,0.9,26,2.5642275,optimal,
263,5,0.9,28,2.407894492,optimal,
264,5,0.9,30,2.263208421,optimal,
265,5,0.9,32,2.130096528,optimal,
266,5,0.9,34,2.008286053,optimal,
267,5,0.9,36,1.897353387,optimal,
268,5,0.9,38,1.796766831,optimal,
269,5,0.9,40,1.705922949,optimal,
270,5,0.9,42,1.624176724,optimal,
271,5,0.9,44,1.550865862,optimal,
272,5,0.9,46,1.485329744,optimal,
273,5,0.9,48,1.426923576,optimal,
274,5,0.9,50,1.375028391,optimal,
275,5,0.9,52,1.329057515,optimal,
276,5,0.9,54,1.288460192,optimal,
277,5,0.9,56,1.252722953,optimal,
278,5,0.9,58,1.221369346,optimal,
279,5,0.9,60,1.193958552,optimal,
280,5,0.9,62,1.170083303,optimal,
281,5,0.9,64,1.149368071,optimal,
282,5,0.9,66,1.131466067,optimal,
283,5,0.9,68,1.116058208,optimal,
284,5,0.9,70,1.102851172,optimal,
285,5,0.9,72,1.091576309,optimal,
286,5,0.9,74,1.081988732,optimal,
287,5,0.9,76,1.073866547,optimal,
288,5,0.9,78,1.067010085,optimal,
289,5,0.9,80,1.06124105,optimal,
290,5,0.9,82,1.056401491,optimal,
291,5,0.9,84,1.052352596,optimal,
292,5,0.9,86,1.048973319,optimal,
293,5,0.9,88,1.046158879,optimal,
294,5,0.9,90,1.043819186,optimal,
295,5,0.9,92,1.04187726,optimal,
296,5,0.9,94,1.040267683,optimal,
297,5,0.9,96,1.038935132,optimal,
298,5,0.9,98,1.037833019,optimal,
299,5,0.9,100,1.036922257,optimal,
300,15,0.5,2,13.90619875,optimal,
301,15,0.5,4,12.83327876,optimal,
302,15,0.5,6,11.78856873,optimal,
303,15,0.5,8,10.77901695,optimal,
304,15,0.5,10,9.811113366,optimal,
305,15,0.5,12,8.890776556,optimal,
306,15,0.5,14,8.023211965,optimal,
307,15,0.5,16,7.212752924,optimal,
308,15,0.5,18,6.462701502,optimal,
309,15,0.5,20,5.775190836,optimal,
310,15,0.5,22,5.151092473,optimal,
311,15,0.5,24,4.58998973,optimal,
312,15,0.5,26,4.090230327,optimal,
313,15,0.5,28,3.649059427,optimal,
314,15,0.5,30,3.262820596,optimal,
315,15,0.5,32,2.927200893,optimal,
316,15,0.5,34,2.637490587,optimal,
317,15,0.5,36,2.388829081,optimal,
318,15,0.5,38,2.17641525,optimal,
319,15,0.5,40,1.995669853,optimal,
320,15,0.5,42,1.842346982,optimal,
321,15,0.5,44,1.712598625,optimal,
322,15,0.5,46,1.603000634,optimal,
323,15,0.5,48,1.510549907,optimal,
324,15,0.5,50,1.432642191,optimal,
325,15,0.5,52,1.367038461,optimal,
326,15,0.5,54,1.311825973,optimal,
