,c0_mass,WR,Volt,c_prod_mass,Sol_Cond
124,15,0.9,10,12.983222270092755,optimal
125,15,0.9,12,12.517327191990624,optimal
126,15,0.9,14,12.04333991966034,optimal
127,15,0.9,16,11.565838427378104,optimal
128,15,0.9,18,11.088841749198897,optimal
129,15,0.9,20,10.615838043315987,optimal
130,15,0.9,22,10.149828557311398,optimal
131,15,0.9,24,9.693375797289203,optimal
132,15,0.9,26,9.248649858623413,optimal
133,15,0.9,28,8.817470212175511,optimal
134,15,0.9,30,8.401342023408889,optimal
