,Feed,S_A,S_F,S_I,S_N2,S_NH4,S_NO3,S_O2,S_PO4,X_AUT,X_H,X_I,X_PAO,X_PHA,X_PP,X_S,c_cost,o_cost,lcow,e_cost,byS_PO4,Temp
19,1.032201585,0.110941622,19.49473333,0.026604289,1.00E-06,1.141710239,1.00E-06,1.00E-06,0.577887734,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.291,7324.918407,4.042244277,0.044,2831691.761,298.15
20,0.94067489,0.110941622,19.49473333,0.026604289,1.00E-06,1.141665566,1.00E-06,1.00E-06,0.532487799,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.291,11909.723,4.124286832,0.044,2609345.506,298.15
21,1.055565232,0.110941622,19.49473333,0.026604289,1.00E-06,1.141743779,1.00E-06,1.00E-06,0.589476231,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.289,6154.63679,4.021302728,0.044,2888355.308,300.15
22,1.097069279,0.110941622,19.49473333,0.026604289,1.00E-06,1.141732071,1.00E-06,1.00E-06,0.610063607,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.289,4075.578507,3.984099124,0.044,2989271.057,300.15
23,0.954712861,0.110941622,19.49473333,0.026604289,1.00E-06,1.141655997,1.00E-06,1.00E-06,0.539451526,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.289,11206.48136,4.111702707,0.044,2643500.027,300.15
24,0.896133684,0.110941622,19.49473333,0.026604289,1.00E-06,1.141732239,1.00E-06,1.00E-06,0.510392265,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.289,14141.09152,4.16421594,0.044,2500897.092,300.15
25,1.083853472,0.110941622,19.49473333,0.026604289,1.00E-06,1.141732178,1.00E-06,1.00E-06,0.603508199,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.289,4737.589803,3.995945452,0.044,2955971.781,300.15
26,0.959231133,0.110941622,19.49473333,0.026604289,1.00E-06,1.141602499,1.00E-06,1.00E-06,0.541694876,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.29,10979.93117,4.107648717,0.044,2654617.785,300.15
27,1.143143071,0.110941622,19.49473333,0.026604289,1.00E-06,1.141735573,1.00E-06,1.00E-06,0.632917449,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.289,1767.636959,3.942799781,0.044,3101270.9,300.15
28,0.979700821,0.110941622,19.49473333,0.026604289,1.00E-06,1.141582399,1.00E-06,1.00E-06,0.551851371,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.29,9954.256334,4.08929483,0.044,2704430.428,300.15
29,1.103828481,0.110941622,19.49473333,0.026604289,1.00E-06,1.141731991,1.00E-06,1.00E-06,0.613416365,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.289,3736.993385,3.97804033,0.044,3005710.103,300.15
30,1.054079167,0.110941622,19.49473333,0.026604289,1.00E-06,1.141689658,1.00E-06,1.00E-06,0.588740284,1.00E-06,1.00E-06,13.06950972,1.00E-06,7.279293168,0.114302439,0.13979424,2185688.289,6228.955964,4.02263263,0.044,2884929.26,300.15
