,Feed,S_A,S_F,S_I,S_N2,S_NH4,S_NO3,S_O2,S_PO4,X_AUT,X_H,X_I,X_PAO,X_PHA,X_PP,X_S,c_cost,o_cost,lcow,e_cost,byS_PO4
11,2.8364087717573256,0.11094162214270449,19.494733325390666,0.026604289495499,1.0000000000000012e-06,1.114041174453714,1.0000000000000012e-06,1.0000000000000012e-06,0.5769205402553327,1.0000000000000012e-06,1.0000000000000012e-06,13.069509715759708,1.0000000000000012e-06,7.279293167643016,0.1143024386391878,0.1397942398575564,2185688.282995034,7422.6160336099365,4.043992508186502,0.044,2826880.9938065996
12,3.1642630767436053,0.11094162214270449,19.494733325390666,0.026604289495499,1.0000000000000012e-06,1.1284741171133,1.0000000000000012e-06,1.0000000000000012e-06,0.5807713976366455,1.0000000000000012e-06,1.0000000000000012e-06,13.069509715759708,1.0000000000000012e-06,7.279293167643016,0.1143024386391878,0.1397942398575564,2185688.281925394,7033.732742675972,4.03703365382678,0.044,2845768.041849535
13,3.2997658093224302,0.11094162214270449,19.494733325390666,0.026604289495499,1.0000000000000012e-06,1.1342981553885858,1.0000000000000012e-06,1.0000000000000012e-06,0.581608195066209,1.0000000000000012e-06,1.0000000000000012e-06,13.069509715759708,1.0000000000000012e-06,7.279293167643016,0.1143024386391878,0.1397942398575564,2185688.282332416,6949.225814995783,4.03552144959782,0.044,2850115.6219224785
14,2.95725313047441,0.11094162214270449,19.494733325390666,0.026604289495499,1.0000000000000012e-06,1.1193618406845496,1.0000000000000012e-06,1.0000000000000012e-06,0.5786582855006078,1.0000000000000012e-06,1.0000000000000012e-06,13.069509715759708,1.0000000000000012e-06,7.279293167643016,0.1143024386391878,0.1397942398575564,2185688.28259537,7247.127509360067,4.04085223692067,0.044,2835883.240729629
15,3.4338354236731536,0.11094162214270449,19.494733325390666,0.026604289495499,1.0000000000000012e-06,1.1402972138199403,1.0000000000000012e-06,1.0000000000000012e-06,0.5821861438891176,1.0000000000000012e-06,1.0000000000000012e-06,13.069509715759708,1.0000000000000012e-06,7.279293167643016,0.1143024386391878,0.1397942398575564,2185688.281023617,6890.864516066337,4.034477103934149,0.044,2852697.056245782
16,3.186336437933598,0.11094162214270449,19.494733325390666,0.026604289495499,1.0000000000000012e-06,1.1293773171969608,1.0000000000000012e-06,1.0000000000000012e-06,0.5809329567943056,1.0000000000000012e-06,1.0000000000000012e-06,13.069509715759708,1.0000000000000012e-06,7.279293167643016,0.1143024386391878,0.1397942398575564,2185688.2825805065,7017.415351601687,4.036741664267064,0.044,2846768.2541756136
17,3.199698240496931,0.11094162214270449,19.494733325390666,0.026604289495499,1.0000000000000012e-06,1.1299746563350683,1.0000000000000012e-06,1.0000000000000012e-06,0.5810239518611374,1.0000000000000012e-06,1.0000000000000012e-06,13.069509715759708,1.0000000000000012e-06,7.279293167643016,0.1143024386391878,0.1397942398575564,2185688.2824395187,7008.226464646028,4.036577233940365,0.044,2847188.696120781
18,3.5052883506709045,0.11094162214270449,19.494733325390666,0.026604289495499,1.0000000000000012e-06,1.1434733290884143,1.0000000000000012e-06,1.0000000000000012e-06,0.5824386130016185,1.0000000000000012e-06,1.0000000000000012e-06,13.069509715759708,1.0000000000000012e-06,7.279293167643016,0.1143024386391878,0.1397942398575564,2185688.2805467383,6865.369880523538,4.034020890610289,0.044,2853880.076191065
19,3.7114286215550116,0.11094162214270449,19.494733325390666,0.026604289495499,1.0000000000000012e-06,1.1521028247382263,1.0000000000000012e-06,1.0000000000000012e-06,0.5830478735913672,1.0000000000000012e-06,1.0000000000000012e-06,13.069509715759708,1.0000000000000012e-06,7.279293167643016,0.1143024386391878,0.1397942398575564,2185688.2797275595,6803.845012082259,4.032919935487614,0.044,2856630.662497762
20,3.3173280819101634,0.11094162214270449,19.494733325390666,0.026604289495499,1.0000000000000012e-06,1.1351252286041147,1.0000000000000012e-06,1.0000000000000012e-06,0.5816957756363681,1.0000000000000012e-06,1.0000000000000012e-06,13.069509715759708,1.0000000000000012e-06,7.279293167643016,0.1143024386391878,0.1397942398575564,2185688.2823269907,6940.381328704997,4.035363182374041,0.044,2850580.933076735
21,3.3409269350670434,0.11094162214270449,19.494733325390666,0.026604289495499,1.0000000000000012e-06,1.136237241156993,1.0000000000000012e-06,1.0000000000000012e-06,0.5818024288754101,1.0000000000000012e-06,1.0000000000000012e-06,13.069509715759708,1.0000000000000012e-06,7.279293167643016,0.1143024386391878,0.1397942398575564,2185688.2814506805,6929.613433817852,4.035170495253693,0.044,2850877.6777040367
22,2.9385603105120546,0.11094162214270449,19.494733325390666,0.026604289495499,1.0000000000000012e-06,1.11853900089289,1.0000000000000012e-06,1.0000000000000012e-06,0.5784104303573911,1.0000000000000012e-06,1.0000000000000012e-06,13.069509715759708,1.0000000000000012e-06,7.279293167643016,0.1143024386391878,0.1397942398575564,2185688.2826555944,7272.157442000906,4.041300133896299,0.044,2835009.092659395
23,3.2872372081573964,0.11094162214270449,19.494733325390666,0.026604289495499,1.0000000000000012e-06,1.1338274145028866,1.0000000000000012e-06,1.0000000000000012e-06,0.5815414058530144,1.0000000000000012e-06,1.0000000000000012e-06,13.069509715759708,1.0000000000000012e-06,7.279293167643016,0.1143024386391878,0.1397942398575564,2185688.2819930916,6955.971703198495,4.035642162946995,0.044,2849677.929459213
24,3.731037482017151,0.11094162214270449,19.494733325390666,0.026604289495499,1.0000000000000012e-06,1.1533841230414628,1.0000000000000012e-06,1.0000000000000012e-06,0.5830997436074572,1.0000000000000012e-06,1.0000000000000012e-06,13.069509715759708,1.0000000000000012e-06,7.279293167643016,0.1143024386391878,0.1397942398575564,2185688.2796547567,6798.60700562569,4.032826204114853,0.044,2857195.5541375023
25,3.312128367406059,0.11094162214270449,19.494733325390666,0.026604289495499,1.0000000000000012e-06,1.134885522353615,1.0000000000000012e-06,1.0000000000000012e-06,0.5816728699437604,1.0000000000000012e-06,1.0000000000000012e-06,13.069509715759708,1.0000000000000012e-06,7.279293167643016,0.1143024386391878,0.1397942398575564,2185688.2824627226,6942.694088680519,4.0354045681837185,0.044,2850501.8878862658
