case_study,scenario,value,reference,variable
damodar,baseline,0.7,nawi,default_opex_scaling_exp
damodar,baseline,0,nawi,cap_by_equity
damodar,baseline,0.05,nawi,debt_interest_rate
damodar,baseline,0.1,nawi,exp_return_on_equity
damodar,baseline,3.4,nawi,default_tpec_multiplier
damodar,baseline,1.65,nawi,default_tic_multiplier
damodar,baseline,0.0005,nawi,base_salary_per_fci
damodar,baseline,1,nawi,plant_cap_utilization
emwd,baseline,2020,nawi,analysis_year
emwd,baseline,california,nawi,location_basis
emwd,baseline,30,nawi,plant_life_yrs
emwd,baseline,0.0015,nawi,land_cost_percent
emwd,baseline,0.05,nawi,working_capital_percent
emwd,baseline,0.001,nawi,salaries_percent
emwd,baseline,0.9,nawi,employee_benefits_percent
emwd,baseline,0.008,nawi,maintenance_cost_percent
emwd,baseline,0.003,nawi,laboratory_fees_percent
emwd,baseline,0.002,nawi,insurance_and_taxes_percent
emwd,baseline,0.7,nawi,default_cap_scaling_exp
emwd,baseline,0.7,nawi,default_opex_scaling_exp
emwd,baseline,0,nawi,cap_by_equity
emwd,baseline,0.05,nawi,debt_interest_rate
emwd,baseline,0.1,nawi,exp_return_on_equity
emwd,baseline,3.4,nawi,default_tpec_multiplier
emwd,baseline,1.65,nawi,default_tic_multiplier
emwd,baseline,0.0005,nawi,base_salary_per_fci
emwd,baseline,1,nawi,plant_cap_utilization
gila_river,baseline,1,nawi,plant_cap_utilization
gila_river,baseline,2020,nawi,analysis_year
gila_river,baseline,arizona,nawi,location_basis
gila_river,baseline,30,nawi,plant_life_yrs
gila_river,baseline,0.0015,nawi,land_cost_percent
gila_river,baseline,0.05,nawi,working_capital_percent
gila_river,baseline,0.001,nawi,salaries_percent
gila_river,baseline,0.9,nawi,employee_benefits_percent
gila_river,baseline,0.008,nawi,maintenance_cost_percent
gila_river,baseline,0.003,nawi,laboratory_fees_percent
gila_river,baseline,0.002,nawi,insurance_and_taxes_percent
gila_river,baseline,0.7,nawi,default_cap_scaling_exp
gila_river,baseline,0.7,nawi,default_opex_scaling_exp
gila_river,baseline,0.4,nawi,cap_by_equity
