case_study,scenario,value,reference,variable
upw,baseline,0.9,nawi,employee_benefits_percent
upw,baseline,0.008,nawi,maintenance_cost_percent
upw,baseline,0.003,nawi,laboratory_fees_percent
upw,baseline,0.002,nawi,insurance_and_taxes_percent
upw,baseline,0.7,nawi,default_cap_scaling_exp
upw,baseline,0.7,nawi,default_opex_scaling_exp
upw,baseline,0,nawi,cap_by_equity
upw,baseline,0.05,nawi,debt_interest_rate
upw,baseline,0.1,nawi,exp_return_on_equity
upw,baseline,3.4,nawi,default_tpec_multiplier
upw,baseline,1.65,nawi,default_tic_multiplier
upw,baseline,0.0005,nawi,base_salary_per_fci
upw,baseline,1,nawi,plant_cap_utilization
uranium,baseline,2020,nawi,analysis_year
uranium,baseline,wyoming,nawi,location_basis
uranium,baseline,30,nawi,plant_life_yrs
uranium,baseline,0.0015,nawi,land_cost_percent
uranium,baseline,0.05,nawi,working_capital_percent
uranium,baseline,0.001,nawi,salaries_percent
uranium,baseline,0.9,nawi,employee_benefits_percent
uranium,baseline,0.008,nawi,maintenance_cost_percent
uranium,baseline,0.003,nawi,laboratory_fees_percent
uranium,baseline,0.002,nawi,insurance_and_taxes_percent
uranium,baseline,0.7,nawi,default_cap_scaling_exp
uranium,baseline,0.7,nawi,default_opex_scaling_exp
uranium,baseline,0.4,nawi,cap_by_equity
uranium,baseline,0.08,nawi,debt_interest_rate
uranium,baseline,0.1,nawi,exp_return_on_equity
uranium,baseline,3.4,nawi,default_tpec_multiplier
uranium,baseline,1.65,nawi,default_tic_multiplier
uranium,baseline,0.0005,nawi,base_salary_per_fci
uranium,baseline,1,nawi,plant_cap_utilization
vogtle,baseline,2020,nawi,analysis_year
vogtle,baseline,georgia,nawi,location_basis
vogtle,baseline,30,nawi,plant_life_yrs
vogtle,baseline,0.0015,nawi,land_cost_percent
vogtle,baseline,0.05,nawi,working_capital_percent
vogtle,baseline,0.001,nawi,salaries_percent
vogtle,baseline,0.9,nawi,employee_benefits_percent
vogtle,baseline,0.008,nawi,maintenance_cost_percent
vogtle,baseline,0.003,nawi,laboratory_fees_percent
vogtle,baseline,0.002,nawi,insurance_and_taxes_percent
vogtle,baseline,0.7,nawi,default_cap_scaling_exp
vogtle,baseline,0.7,nawi,default_opex_scaling_exp
vogtle,baseline,0.4,nawi,cap_by_equity
vogtle,baseline,0.08,nawi,debt_interest_rate
vogtle,baseline,0.1,nawi,exp_return_on_equity
vogtle,baseline,3.4,nawi,default_tpec_multiplier
vogtle,baseline,1.65,nawi,default_tic_multiplier
vogtle,baseline,0.0005,nawi,base_salary_per_fci
vogtle,baseline,1,nawi,plant_cap_utilization
