,Feedt,S_It,S_St,X_It,X_St,X_BHt,X_BA,X_P
64,0.23211061502450453,0.03000000000000002,0.0010186829829377454,0.003662482672329038,0.0002151007213782237,0.009626460052279061,0.0004377073790065427,0.001414697844047034
65,0.1525883227064237,0.029999999999999992,0.0008721926546327897,0.0036624826723291237,0.00013958591632549515,0.007419095097076602,0.0004817878279921007,0.0010950031350362914
66,0.16646092854249606,0.03000000000000002,0.0008899947812619297,0.003662482672328978,0.00015017069897896974,0.00780519842412576,0.0004747168833465606,0.0011510371294850316
67,0.23544005781680732,0.02999999999999998,0.0010289266466602658,0.003662482672329075,0.000219583681317936,0.009718342692516405,0.0004355448810076104,0.0014279487452940605
68,0.1887883949145371,0.030000000000000006,0.0009214308956632564,0.003662482672329359,0.0001684696012168922,0.008426142698209871,0.00046300409105982075,0.001241095683720942
69,0.3190039646411943,0.0299999999998594,0.001318350250808518,0.0036624826723043137,0.0003593016914028445,0.012014082997744108,0.00036864438160974343,0.0017577865068260667
70,0.16447741491540274,0.02999999999999999,0.0008874134505515276,0.003662482672329084,0.00014863004666553078,0.007750002790343232,0.00047573600892091277,0.001143027991507704
71,0.20853698708110488,0.029999999999871924,0.0009574239627752549,0.003662482672298641,0.0001872044439302192,0.008974394130117306,0.00045181525159084993,0.0013205091573256845
72,0.15055425252293475,0.030000000000000016,0.0008696059254461394,0.0036624826723292868,0.00013806635560478577,0.007362471677756194,0.00048281458228210055,0.0010867840635511864
73,0.24783165545388464,0.030000000000000072,0.0010692644230680995,0.0036624826723290886,0.00023726099065197805,0.010059922076951944,0.00042720064711699685,0.0014771684991426203
74,0.25494222562700863,0.029999999999999992,0.0010934616456528168,0.003662482672329126,0.00024801307011597325,0.010255692492422131,0.00042220376715071655,0.0015053522917560062
75,0.20434507499379037,0.030000000000000044,0.0009487305038640172,0.003662482672329115,0.00018292259901330694,0.008858103946150237,0.0004544466702524898,0.0013036693059701701
76,0.20093611553281235,0.02999999999990286,0.0009421951545713266,0.0036624826723048397,0.00017959107768400763,0.00876355546486583,0.0004561778887635078,0.00128998910293929
