,Feed,S_I,S_S,X_I,X_S,X_BH,X_BA,X_P
0,0.17904606955895463,0.5700840828988786,0.6579875949919679,1.2046755045054427,1.939374996356173,1.000000000001653e-06,1.000000000001653e-06,1.000000000001653e-06
1,0.2272665477852554,0.6333382350144319,0.8249186554802194,1.3361388252127882,2.1661085807379328,9.9999906998724e-07,9.9999906998724e-07,9.9999906998724e-07
2,0.16845674521880558,0.5561251571792558,0.6611076771503482,1.1756638535362647,1.887594189687792,1.0000000000016527e-06,1.0000000000016527e-06,1.0000000000016527e-06
3,0.18265302697077376,0.5748347240770066,0.6620564543101326,1.2145490983022507,1.9567734698527048,1.000000000012559e-06,1.000000000012559e-06,1.000000000012559e-06
4,0.2135834492282368,0.6154969528134766,0.7274441302378061,1.2990568256404778,2.1043570143727868,9.999991483769278e-07,9.999991483769278e-07,9.999991483769278e-07
5,0.17284362125577898,0.5619051260686574,0.6668185077092054,1.1876770440367346,1.9087293966219012,1.0000000000125591e-06,1.0000000000125591e-06,1.0000000000125591e-06
6,0.15067013727861117,0.532673366096829,0.6576385720730217,1.1269212873392243,1.800978904982231,1.0000000000016527e-06,1.0000000000016527e-06,1.0000000000016527e-06
7,0.23254274849662718,0.6404067439357823,0.6635930346919168,1.3508138788387907,2.19930172863991,1.0000000000240468e-06,1.0000000000240468e-06,1.0000000000240468e-06
8,0.3355955874626826,0.7750433776744498,0.6719070389716698,1.630487184698423,2.6970343232941243,1.0000000000016527e-06,1.0000000000016527e-06,1.0000000000016527e-06
9,0.19171363209120829,0.5867370278228163,0.7182595835669953,1.2392883787478162,1.998355218010572,9.999995165476363e-07,9.999995165476363e-07,9.999995165476363e-07
10,0.2709343851766947,0.6906107420582905,0.7332726600483213,1.4551177012501209,2.3819947664121814,9.999991183731584e-07,9.999991183731584e-07,9.999991183731584e-07
11,0.2057614112905429,0.6052208131652456,0.72280448831371,1.2777017505636534,2.066541188096507,9.999991748341923e-07,9.999991748341923e-07,9.999991748341923e-07
12,0.16965554189013465,0.5577029868324412,0.6661085072344757,1.1789433870111334,1.8932134872819297,1.000000000012559e-06,1.000000000012559e-06,1.000000000012559e-06
13,0.19215762823136,0.5873145241842226,0.7222094548471566,1.2404894387710377,2.000319369015902,9.999987475618056e-07,9.999987475618056e-07,9.999987475618056e-07
14,0.18170362748621324,0.5735820176245447,0.6656688404071146,1.2119457023240234,1.9519810936263688,1.000000000012559e-06,1.000000000012559e-06,1.000000000012559e-06
15,0.21492475380761233,0.6172571158781961,0.7253251258257196,1.3027148074816342,2.110961529668529,9.999985972989307e-07,9.999985972989307e-07,9.999985972989307e-07
16,0.2425221316828724,0.653457557241559,0.6956936790125666,1.3779313954892733,2.2461835767105853,9.999990494032394e-07,9.999990494032394e-07,9.999990494032394e-07
17,0.199176291853795,0.5965550746810234,0.7210798060633067,1.2596933366398968,2.0345559582732857,9.999986722826435e-07,9.999986722826435e-07,9.999986722826435e-07
18,0.23978526208372258,0.6498668747800315,0.7139938744574273,1.3704716955768246,2.2321005673853787,9.999993290660787e-07,9.999993290660787e-07,9.999993290660787e-07
19,0.2518437037882527,0.6656379713280901,0.7281068064607289,1.4032387951978942,2.2898313994856023,9.99998792415675e-07,9.99998792415675e-07,9.99998792415675e-07
20,0.1904782031539105,0.5851149978168211,0.7068735885990078,1.2359171371955413,1.9928512081986685,9.99999028646153e-07,9.99999028646153e-07,9.99999028646153e-07
21,0.17917924790445494,0.570255182251939,0.6667097007280997,1.2050314513036073,1.939627243962013,1.000000000012559e-06,1.000000000012559e-06,1.000000000012559e-06
22,0.2381647252735982,0.6477760215374972,0.6559266598066824,1.3661249373905924,2.2269000318501417,1.0000000000016527e-06,1.0000000000016527e-06,1.0000000000016527e-06
23,0.17665586350679557,0.5668922096621243,0.7239460498627651,1.1980455046870893,1.924686574410305,9.999987669886972e-07,9.999987669886972e-07,9.999987669886972e-07
24,0.2582660036701495,0.674042244498143,0.7319389888974982,1.420698414684059,2.320756512098999,9.99999138018786e-07,9.99999138018786e-07,9.99999138018786e-07
25,0.2621430878307592,0.6790961954574742,0.7502465753179355,1.4311990906441898,2.3386548692425353,9.999984461416612e-07,9.999984461416612e-07,9.999984461416612e-07
26,0.15815642530231738,0.5425393488880672,0.6706868485853847,1.1474274745576347,1.8369115181258688,1.0000000000125591e-06,1.0000000000125591e-06,1.0000000000125591e-06
27,0.22920309514600146,0.6359951802218218,0.7293501069102859,1.3416505229632092,2.180110104938452,9.999991752717432e-07,9.999991752717432e-07,9.999991752717432e-07
28,0.1985191891398863,0.595722810630328,0.6709232718138849,1.2579606741467433,2.033666320120067,1.000000000012559e-06,1.000000000012559e-06,1.000000000012559e-06
29,0.17809599478455646,0.5688188702156276,0.6841769288620763,1.2020469813360006,1.9335507597771167,1.0000000000125591e-06,1.0000000000125591e-06,1.0000000000125591e-06
30,0.22822836387545603,0.6347189931691091,0.7274601570983592,1.3389987188642984,2.1754711743139614,9.9999915745839e-07,9.9999915745839e-07,9.9999915745839e-07
31,0.1769900864698918,0.5673689709294345,0.6692458220074117,1.1990329935108757,1.9288382951709633,1.000000000012559e-06,1.000000000012559e-06,1.000000000012559e-06
32,0.19469795367768547,0.590663362541952,0.712503206945265,1.247448891211293,2.0131327950698124,9.999985909613747e-07,9.999985909613747e-07,9.999985909613747e-07
33,0.24668872269145026,0.6589250367426653,0.679840575244514,1.389289459706393,2.267103162012246,1.0000000000125591e-06,1.0000000000125591e-06,1.0000000000125591e-06
34,0.23323905464010355,0.6412772480275757,0.7290641282891897,1.3526262642506972,2.199664315302914,9.999985305026394e-07,9.999985305026394e-07,9.999985305026394e-07
35,0.158967875412217,0.5436108263598569,0.6677887336232478,1.1496543337523146,1.8410022767674197,1.000000000012559e-06,1.000000000012559e-06,1.000000000012559e-06
