,filtered_x,filtered_y,bvs_est,test_xs,obj,media,species,curve_id,fs.unit.freund_k,fs.unit.freund_ninv
0,0.005,195.30728971359375,-2315.4111462826622,0.01,93521785.67809227,calgon_f600,PFOA,1,28.403732962243087,0.9192851010693389
1,0.005,7812.291667643202,7913.415228491138,0.059000000000000004,93521785.67809227,calgon_f600,PFOA,1,28.403732962243087,0.9192851010693389
2,0.1691744287974683,11718.437501464809,14127.34382520654,0.108,93521785.67809227,calgon_f600,PFOA,1,28.403732962243087,0.9192851010693389
3,0.2089801767088607,13866.817710286408,18821.076252976323,0.15700000000000003,93521785.67809227,calgon_f600,PFOA,1,28.403732962243087,0.9192851010693389
4,0.2686887986708861,16991.734376464807,22780.481163864137,0.20600000000000002,93521785.67809227,calgon_f600,PFOA,1,28.403732962243087,0.9192851010693389
5,0.2786402356329113,18944.807291178397,26282.995548324765,0.255,93521785.67809227,calgon_f600,PFOA,1,28.403732962243087,0.9192851010693389
6,0.3084945465822785,20897.880210286407,29477.876349100843,0.30400000000000005,93521785.67809227,calgon_f600,PFOA,1,28.403732962243087,0.9192851010693389
7,0.3084945465822785,23241.5677088216,32461.41310978741,0.35300000000000004,93521785.67809227,calgon_f600,PFOA,1,28.403732962243087,0.9192851010693389
8,0.3582517315189873,25194.640623535197,35302.572253605846,0.402,93521785.67809227,calgon_f600,PFOA,1,28.403732962243087,0.9192851010693389
9,0.3980574794936708,27147.713542643203,38056.461215479445,0.451,93521785.67809227,calgon_f600,PFOA,1,28.403732962243087,0.9192851010693389
10,0.4080089165189873,37108.38541471359,40772.8731393894,0.5,93521785.67809227,calgon_f600,PFOA,1,28.403732962243087,0.9192851010693389
11,0.4179603534810126,43162.9114573568,43502.93371972321,0.549,93521785.67809227,calgon_f600,PFOA,1,28.403732962243087,0.9192851010693389
12,0.4279117904430379,49022.130227864065,46306.00754894024,0.5980000000000001,93521785.67809227,calgon_f600,PFOA,1,28.403732962243087,0.9192851010693389
13,0.4378632274683544,51170.510397135935,49259.132115267734,0.647,93521785.67809227,calgon_f600,PFOA,1,28.403732962243087,0.9192851010693389
14,0.4677175384177214,56053.192727864065,52472.450969392245,0.6960000000000001,93521785.67809227,calgon_f600,PFOA,1,28.403732962243087,0.9192851010693389
15,,,56116.88755794184,0.745,93521785.67809227,calgon_f600,PFOA,1,28.403732962243087,0.9192851010693389
16,,,60476.382091907915,0.794,93521785.67809227,calgon_f600,PFOA,1,28.403732962243087,0.9192851010693389
17,,,66059.58671863165,0.8430000000000001,93521785.67809227,calgon_f600,PFOA,1,28.403732962243087,0.9192851010693389
18,,,73927.73155045751,0.892,93521785.67809227,calgon_f600,PFOA,1,28.403732962243087,0.9192851010693389
19,,,86904.76206219762,0.9410000000000001,93521785.67809227,calgon_f600,PFOA,1,28.403732962243087,0.9192851010693389
20,,,112593.87916310434,0.99,93521785.67809227,calgon_f600,PFOA,1,28.403732962243087,0.9192851010693389
21,0.005,390.6145838216016,12863.030031835877,0.01,39023779.05995369,calgon_f600,PFOA,2,26.664072277268204,0.91073617979192
22,0.005,7812.291667643202,20418.637706670605,0.059000000000000004,39023779.05995369,calgon_f600,PFOA,2,26.664072277268204,0.91073617979192
23,0.005,11913.744791178398,24898.538720234083,0.108,39023779.05995369,calgon_f600,PFOA,2,26.664072277268204,0.91073617979192
24,0.005,13866.817710286408,28333.887003187796,0.15700000000000003,39023779.05995369,calgon_f600,PFOA,2,26.664072277268204,0.91073617979192
25,0.005,16991.734376464807,31247.54343653907,0.20600000000000002,39023779.05995369,calgon_f600,PFOA,2,26.664072277268204,0.91073617979192
26,0.005,19140.114585286407,33833.11828396888,0.255,39023779.05995369,calgon_f600,PFOA,2,26.664072277268204,0.91073617979192
27,0.005,20897.880210286407,36196.99798287994,0.30400000000000005,39023779.05995369,calgon_f600,PFOA,2,26.664072277268204,0.91073617979192
28,0.1492715548101265,23046.260414713593,38407.881496916045,0.35300000000000004,39023779.05995369,calgon_f600,PFOA,2,26.664072277268204,0.91073617979192
29,0.1890773027848101,24999.3333338216,40515.092860052704,0.402,39023779.05995369,calgon_f600,PFOA,2,26.664072277268204,0.91073617979192
30,0.2388344877215189,26757.0989588216,42558.20933903019,0.451,39023779.05995369,calgon_f600,PFOA,2,26.664072277268204,0.91073617979192
31,0.2587373616455696,31053.8593764648,44573.042820238465,0.5,39023779.05995369,calgon_f600,PFOA,2,26.664072277268204,0.91073617979192
32,0.4378632274683544,43162.9114573568,46596.237128118155,0.549,39023779.05995369,calgon_f600,PFOA,2,26.664072277268204,0.91073617979192
33,0.5473290343037975,56248.5,48670.00484267109,0.5980000000000001,39023779.05995369,calgon_f600,PFOA,2,26.664072277268204,0.91073617979192
34,,,50848.5435380234,0.647,39023779.05995369,calgon_f600,PFOA,2,26.664072277268204,0.91073617979192
35,,,53208.499849616295,0.6960000000000001,39023779.05995369,calgon_f600,PFOA,2,26.664072277268204,0.91073617979192
36,,,55867.89588409573,0.745,39023779.05995369,calgon_f600,PFOA,2,26.664072277268204,0.91073617979192
37,,,59022.430056095385,0.794,39023779.05995369,calgon_f600,PFOA,2,26.664072277268204,0.91073617979192
38,,,63022.59251011662,0.8430000000000001,39023779.05995369,calgon_f600,PFOA,2,26.664072277268204,0.91073617979192
39,,,68590.5096609643,0.892,39023779.05995369,calgon_f600,PFOA,2,26.664072277268204,0.91073617979192
40,,,77655.08886089352,0.9410000000000001,39023779.05995369,calgon_f600,PFOA,2,26.664072277268204,0.91073617979192
